legacy_id,name,lat,lng,state_code,state_name,layer_code,subtype_code,site_form_code,verification_status,confidence,review_notes,description,primary_url,raw_category,category_label,source_folder,owner_name,layer_label,cost,showers,is_active
s146,Bull Shoals - White River State Park,36.3613517,-92.5738512,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s159,Campground #2,36.5774366,-93.3015273,MO,Missouri,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s161,Cane Creek State Park,33.9131924,-91.7632401,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s212,Cossatot River State Park - Natural Area,34.2938191,-94.1774524,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s221,Crater of Diamonds State Park Campground,34.029412,-93.6667722,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s226,Crowley's Ridge State Park,36.043365,-90.6639634,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s232,Daisy State Park,34.2336662,-93.740456,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s233,Davidsonville Historic State Park,36.1562606,-91.0561683,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s238,DeGray Lake State Park Resort,34.2456659,-93.1481097,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s240,Delta Heritage Trail State Park,34.5542013,-90.7586163,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s245,Devil's Den State Park,35.7819774,-94.2526856,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s396,Hobbs State Park-Conservation Area,36.285926,-93.939028,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s441,Jacksonport State Park,35.6393348,-91.3116552,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s450,John W Kyle State Park,34.4094107,-89.8038626,MS,Mississippi,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,Some sites on this lake free in winter.,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s488,Lake Catherine State Park,34.4287378,-92.9226486,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s489,Lake Charles State Park,36.0655624,-91.1528536,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s490,Lake Chicot State Park,33.3719416,-91.1957801,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s491,Lake Dardanelle State Park,35.2829931,-93.2029827,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s494,Lake Fort Smith State Park,35.6959506,-94.1188313,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s495,Lake Frierson State Park,35.97294,-90.7172548,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s516,Lake Ouachita State Park,34.618696,-93.1772925,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s517,Lake Poinsett State Park,35.5320255,-90.6846177,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s522,Lake Sylvia Recreational Area,34.8822767,-92.8101866,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s618,Moro Bay State Park,33.3007433,-92.3496204,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s620,Mount Magazine State Park,35.1686949,-93.6260549,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s691,Petit Jean State Park,35.1242439,-92.9234759,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s757,Queen Wilhelmina State Park,34.6858036,-94.3715585,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s784,Roaring River State Park,36.58571,-93.8370854,MO,Missouri,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s900,Table Rock State Park Campground 1,36.581053,-93.3039353,MO,Missouri,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s962,Village Creek State Park,35.1578246,-90.7057861,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,Local campgrounds,,,True
s969,Wallace Creek Campground,34.159457,-89.891585,MS,Mississippi,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,Some sites on Enid Lake free in winter.,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s1017,Withrow Springs State Park Campground,36.1637624,-93.7208983,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s1022,Woolly Hollow State Park,35.2887434,-92.2869995,AR,Arkansas,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s213,Cottonwood Campground,36.1704765,-112.0404999,AZ,Arizona,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s241,Demotte Campground,36.4113774,-112.1354448,AZ,Arizona,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s419,Indian Hollow Campground,36.4621865,-112.4842286,AZ,Arizona,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s455,Kaibab National Forest,35.8333226,-112.0840539,AZ,Arizona,federal,rustic,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,Free dispersed camping,,federal,Federal Lands,Federal Lands,,Federal campgrounds,,,True
s647,North Rim Campground,36.2087764,-112.0601694,AZ,Arizona,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s756,Quartzsite AZ long-term BLM lands,33.6772732,-114.2441156,AZ,Arizona,info,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,Long-term and short-visit BLM LTVA area south of Quartzsite.,https://www.blm.gov/visit/la-posa-long-term-visitor-area,info,Info / Reference,Misc Info and websites,,Info / reference,,,True
s124,boondocking near here,37.6795359,-119.7639548,CA,California,boondocking,rustic,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,"""You can bookdock right outside yosemite, ca close to the west entrance in the national forest free for up to 14 days. We'll it's that way for most NF and BLM that you can stay free up to 14 days in one area. You go about 1/4 mile from the entrance, then turn to the right where they have snow plow equipment. This area is popular. Yosemite is amazing though just stunning. CA gas is expensive so gas up in whatever state you are in before CA.""",,boondocking,Boondocking,places from others,,Boondocking / dispersed,,,True
s271,Eastern Sierra Visitor Center,36.5785973,-118.0559839,CA,California,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,good info on free camping in the area here.,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s487,Lake Casitas Recreation Area,34.416474,-119.3380136,CA,California,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s582,Mammoth Lakes,37.6537836,-118.9708222,CA,California,boondocking,rustic,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,"This might be might favorite mountain area I've been to yet, out of 40 something states. California nature continues to amaze me.
Gorgeous area in the Sierra Nevada mountains, shaded and much cooler weather than the 100+ degree weather elsewhere. I found multiple hot springs you could sit in like a hot tub, trails absolutely everywhere, boondocking everywhere",,boondocking,Boondocking,places from others,,Boondocking / dispersed,,,True
s773,Rincon Parkway Campground,34.3218773,-119.3933227,CA,California,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s779,Rivernook Campground,35.76355,-118.423435,CA,California,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s796,Sabrina Campground,37.2181114,-118.6068661,CA,California,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s802,San Onofre Beach,33.3728077,-117.5656012,CA,California,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s836,Sierra Way boondocking,35.7327001,-118.4172724,CA,California,boondocking,rustic,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,several sites on the Way,,boondocking,Boondocking,places from others,,Boondocking / dispersed,,,True
s8,Alamosa Campground,37.379647,-106.34373,CO,Colorado,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,FREE,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s20,Antero Reservoir South Shore Campground,38.9773788,-105.894783,CO,Colorado,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
s39,Badger Flats Campsite,39.051176,-105.459674,CO,Colorado,boondocking,rustic,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,"You can buy water in Florissant at water department. Need quarters - 4 quarters 40 gal water.
This is a FREE campsite
From CR31 turn left onto Forest road 224 then take right fork then 1st right to campsite
Badger Flats Dispersed
Pike National Forest
Colorado / Lake George
Best of the Area on CR-31 East of Wilkerson Pass
Lake George, Colorado
GPS: 39.05392, -105.46626
Elevation: 8727'
Public - Forest Service (Official)
The road in is Gravel and 1 mile miles from a paved road. There are 30 or more campsites at this location and the maximum RV length is unlimited. You may stay 14 days at Best of the Area on CR-31 East of Wilkerson Pass.
Activities:
RV Parking
Tent Camping
OHV
Biking
Hiking
Horse Trails
Wildlife Viewing
Submitted by Anonymous. Last update: May 8, 2017
Dozens and Dozens of possible campsites once you enter NFS land at 39.04303 -105.45502 on CR-31 between Lake George and Wilkerson Pass. I found an 'easy' site for RV at 39.05128 -105.45956 but if you return time after time you can 'discover' Many sites down many little dirt roads off CR-31 that are good for RV, some of which you will need to be 'brave' to get to but work Great once there. CR-31 is an Excellent maintained gravel road.
Been here? Rate it!
Because of its relatively easy access and numerous campsites, we chose Badger Flats as the location for our first boondocking experience. There are three excellent fisheries close by all of which are fed by the South Platte River. A short 20-minute drive westward you’ll find Spinney Reservoir, The Dream Stream and Eleven Mile Reservoir. These fisheries provide access to cutthroat, rainbow and brown trout as well as northern pike and even Kokanee salmon.
As we turned off highway 24, we immediately saw No Camping signs but soon realized this applies only to the state-owned land which borders the highway. One mile further up CR 31, we reached the federal land where camping is allowed. The side roads are flat and in reasonable shape which allowed us to tow our 22-foot trailer without concern. There are likely more than a hundred campsites scattered throughout the area some in the trees and some more exposed. Riders of off-road vehicles are aware of Badger Flats. Everyone was considerate always slowing down when approaching a campsite. Target shooting occurred throughout the day which might be a consideration for some.
Our cell phones had a difficult time connecting to a Verizon signal despite the close proximity of a cell phone tower on top of Badger Mountain. Signal strength was 1-2 bars at best. We rarely received a 3G carrier.
Being near the top of Wilkerson Pass, the area can become rather windy at times. We took advantage of some calmer weather on day two to take a short hike during which we spotted a badger crossing the OHV trail. We kept our distance as he intently watched us from his home which was less than 10 feet from the trail. Not sure who named Badger Flats or when, but it was fun to see they are still doing well there today.",,boondocking,Boondocking,places from others,,Boondocking / dispersed,,,True
s106,BLM Colorado,38.4454154,-105.1966586,CO,Colorado,federal,rustic,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,Very helpfulf for finding dispersed camping,,federal,Federal Lands,Federal Lands,,Federal campgrounds,,,True
s107,BLM Land,39.0116085,-105.4279902,CO,Colorado,federal,rustic,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,Between Wilkerson Pass and Lake George,,federal,Federal Lands,Federal Lands,,Federal campgrounds,,,True
s109,BLM Land,38.0276532,-107.6810096,CO,Colorado,federal,rustic,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,Around Ouray,,federal,Federal Lands,Federal Lands,,Federal campgrounds,,,True
s110,BLM Land,38.1557187,-107.7621215,CO,Colorado,federal,rustic,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,Lots in this area,,federal,Federal Lands,Federal Lands,,Federal campgrounds,,,True
s111,BLM Lands,37.4986756,-105.5746198,CO,Colorado,boondocking,rustic,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,boondocking,Boondocking,places from others,,Boondocking / dispersed,,,True
s112,BLM Office,39.7158737,-105.1116314,CO,Colorado,info,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,Check with offices for free permits. BLM lands should be posted if a permit is required.,https://www.blm.gov/,info,Info / Reference,Misc Info and websites,,Info / reference,,,True
s114,Blue Lake,39.3860691,-106.1005389,CO,Colorado,boondocking,rustic,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,Someone said they camped here,,boondocking,Boondocking,places from others,,Boondocking / dispersed,,,True
s122,Boondocking,39.0094313,-105.1582795,CO,Colorado,boondocking,rustic,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,"Head out of the Springs on Hiway 24 (Cimmaron St), past Pikes Peak. Stay on 24 until you reach the second stop light in Divide...turn right....keep going straight out into the national forest. (about 5 miles) Coolish right now...about 72 with a cool breeze. There is a water place just a 1/4 mile on the right when you turn onto CR 5. (Behind Venture Market)",,boondocking,Boondocking,places from others,,Boondocking / dispersed,,,True
s123,Boondocking allowed in this area,37.5306925,-107.2293756,CO,Colorado,boondocking,rustic,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,boondocking,Boondocking,places from others,,Boondocking / dispersed,,,True
s194,Clear Creek Reservoir Campground,39.0197297,-106.2776701,CO,Colorado,state,modern,campsite,best_effort_confirmed,80,Imported from v22.2.1 master during Supabase wiring setup.,,,public,State / County / Town,"State, county, and town Campgrounds",,State campgrounds,,,True
