id,state,name,countyRegion,leadType,likelyLayer,status,priority,sourceType,coordinateConfidence,blocker,nextAction,relatedActiveOrPendingRecord,lastCheckedVersion,notes
co-lead-alamosa-campground-layer-audit,CO,Alamosa Campground,Alamosa / San Luis Valley,layer_correction_candidate,Rustic / Primitive,needs_supervisor_review,High,Prior CO Modern-subtype audit,Unknown,Repo unavailable; active CO record/source proof not inspectable here,Reopen CO active record audit; verify official managing source and amenities; move from Modern to Rustic / Primitive only if official proof still supports,Prior context says active CO Modern-subtype audit found “Alamosa Campground → MOVE TO RUSTIC / PRIMITIVE”,v23.1.54-historical-backfill,"Treat as correction lead, not new campsite add."
co-lead-john-martin-reservoir-sp-supervisor,CO,John Martin Reservoir State Park,Bent County / John Martin Reservoir,supervisor_review,Modern or Rustic / Primitive — verify by campground/unit,needs_supervisor_review,High,Prior CO Modern-subtype audit,Unknown,Prior audit flagged for supervisor review; active record/source details unavailable here,"Check whether the active record is too broad, duplicate, wrong layer, or missing campground-level specificity",Possible active CO record,v23.1.54-historical-backfill,"State park may have valid camping, but record granularity/layer needs review before durable decision."
co-lead-lake-pueblo-sp-supervisor,CO,Lake Pueblo State Park,Pueblo County / Lake Pueblo,supervisor_review,Modern or Rustic / Primitive — verify by campground/unit,needs_supervisor_review,High,Prior CO Modern-subtype audit,Unknown,Prior audit flagged for supervisor review; active record/source details unavailable here,"Check whether the active record is too broad, duplicate, wrong layer, or missing campground-level specificity",Possible active CO record,v23.1.54-historical-backfill,"Same issue as John Martin: likely real camping, but broad state-park records can be lousy map records if not campground-specific."
mt-lead-beaverhead-deerlodge-dispersed-mvum-pioneer-big-hole-gravelly,MT,Beaverhead-Deerlodge NF dispersed camping / MVUM area-rule review — Pioneer / Big Hole / Gravelly corridor,Beaverhead / Madison / Deer Lodge / Silver Bow / Granite,coordinate_rescue,Boondocking / Dispersed,coordinate_rescue,High,USFS official dispersed rules/MVUM/GIS,NO HONEST ACTIVE COORDINATE ACCEPTED,Important non-modern geometry lead.,Add durable area/geometry lead.,,v23.1.71,
mt-lead-blm-dillon-field-office-campground-gis-source-index,MT,BLM Dillon / Beaverhead / Ruby / Clark Canyon campground and camping-source index,Beaverhead / Madison / Dillon-Big Hole-Ruby corridors,coordinate_rescue,Rustic / Primitive or Boondocking / Dispersed depending source,coordinate_rescue,High,BLM official/GIS follow-up,NO HONEST ACTIVE COORDINATE ACCEPTED,This prevents BLM camping from being missed while avoiding fake office/centroid pins.,Assign BLM/RIDB/GIS extraction pass for southwest MT.,,v23.1.71,
mt-lead-bannack-hike-bike-campsite-coordinate-rescue,MT,Bannack State Park hike-bike campsite / tent-pad component,Beaverhead County / Bannack,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,Official Montana FWP / reservation follow-up,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not duplicate parent campground unless separate coordinate exists.,Extract ReserveAmerica/FWP map metadata or park campground map; add as Boat/Backpack only if component coordinate is defensible.,,v23.1.71,
mt-lead-red-rock-lakes-river-marsh-campground-coordinate-rescue,MT,Red Rock Lakes NWR — River Marsh Campground,Beaverhead County / Centennial Valley / Red Rock Lakes NWR,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USFWS,NO HONEST ACTIVE COORDINATE ACCEPTED,"Good real campground lead, blocked only on exact coordinate.",Add durable coordinate-rescue lead; do not create fake lake/refuge centroid.,,v23.1.71,
mt-lead-red-rock-lakes-upper-lake-campground-coordinate-rescue,MT,Red Rock Lakes NWR — Upper Lake Campground,Beaverhead County / Centennial Valley / Red Rock Lakes NWR,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USFWS,NO HONEST ACTIVE COORDINATE ACCEPTED,"Real, valuable primitive campground lead; exact coordinate still needed.",Add durable coordinate-rescue lead.,,v23.1.71,
mt-v73-ul-bend-wilderness-geometry,MT,UL Bend Wilderness camping geometry,CMR NWR / UL Bend,geometry_extraction,Rustic / Primitive / Boondocking / Boat-Backpack,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Official proof exists but exact component geometry or current-runtime duplicate check is blocked.,Extract FWS wilderness boundary and access geometry; existing marker must remain approximate.,,v23.1.73,
mt-lead-cmr-nwr-dispersed-backcountry-boundary,MT,CMR NWR dispersed/backcountry camping official boundary geometry,Charles M. Russell NWR,area_outline_followup / gis_extraction_needed,Boondocking / Dispersed,gis_extraction_needed,High,USFWS refuge rules / official refuge boundary GIS,NO HONEST AREA PIN SELECTED,"Prior worker output says camping outside campgrounds is allowed unless closed with limits, but record must use official boundary/geometry only.","Extract official refuge outline/geometry, closure exceptions, road-distance rules, and camping limits; create Area/rule marker or future polygon.","None known; MT active 170, broad leads held out per manifest",v23.1.54-historical-backfill,This is one of the strongest MT area leads.
