id,state,name,countyRegion,leadType,likelyLayer,status,priority,sourceType,coordinateConfidence,blocker,nextAction,relatedActiveOrPendingRecord,lastCheckedVersion,notes
in-lead-metea-county-park-camping-policy,IN,Metea County Park Group / Primitive Camping Check,Allen / Leo-Cedarville,research_needed,Rustic / Primitive or group/youth,Needs policy verification,High,County park source family / public discovery,Group camping / overnight rules unclear in accessible source pass,"Do not import park centroid, nature center, or trailhead.",Add lead only.,,v23.1.68,Allen County Parks/Metea source family checked as likely group/outdoor education site; public overnight campground status not proven here.
in-lead-in-bartholomew-blue-canoe-livery-water-trail-camping-coordinate-rescue,IN,Blue’s Canoe Livery Water-Trail Camping,Bartholomew edge / Driftwood River,coordinate_rescue,Boat / Backpack / Private,Research Needed,High,Indiana DNR water-trail page,Official DNR water-trail camping list; exact campground coordinate not recovered.,Edge county but within Bartholomew edge in assignment.,Add lead.,,v23.1.68,"Indiana DNR lists Blue’s Canoe Livery on Driftwood River as a public water-trail camping location with address 6700 W. Lowell Road, Columbus. ([Indiana Government][39])"
in-lead-in-brown-monroe-yellowwood-morgan-monroe-tecumseh-trail-backcountry-camping-geometry,IN,Tecumseh Trail / Yellowwood-Morgan-Monroe Backcountry Camping,Brown / Monroe / Morgan,research_needed,Boat / Backpack / Boondocking split pending,Research Needed,High,Indiana DNR official,Official rule proof; trail geometry needed.,Important non-modern lead.,Add lead.,,v23.1.68,"DNR says dispersed camping is allowed along Tecumseh Trail through Morgan-Monroe and Yellowwood and in backcountry areas, but not on private-property trail sections; registration is required at Morgan-Monroe and Yellowwood. ([Indiana Government][10])"
in-lead-yellowwood-state-forest-family-horse-carryin,IN,Yellowwood State Forest Family / Horse / Carry-in Camping Components,Brown / Monroe / Yellowwood State Forest,coordinate_rescue,Rustic / Primitive / Boat-Backpack,coordinate_rescue,High,IN_W3 v23.1.69 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong non-modern component lead.,Extract component coordinates from DNR maps/GIS or agency contact.,,v23.1.69,
in-lead-in-brown-yellowwood-state-forest-family-campground-coordinate-rescue,IN,Yellowwood State Forest Primitive Family Campground,Brown / Yellowwood State Forest,research_needed,Rustic / Primitive,Research Needed,High,Indiana DNR / ReserveAmerica,Official reservation proof; exact family campground point blocked.,High-value non-modern state-forest candidate.,Add lead.,,v23.1.68,ReserveAmerica says Yellowwood has 74 primitive campsites plus 11 primitive horse campsites and backcountry camping is permitted; DNR state forest page confirms primitive/equestrian campgrounds. ([Indiana State Parks][12])
in-lead-in-brown-yellowwood-state-forest-horse-camp-coordinate-rescue,IN,Yellowwood State Forest Primitive Horse Camp,Brown / Yellowwood State Forest,research_needed,Rustic / Primitive,Research Needed,High,Indiana DNR / ReserveAmerica,Official reservation proof; exact horse-camp point blocked.,Split from family campground.,Add lead.,,v23.1.68,ReserveAmerica says Yellowwood has 11 primitive horse campsites and equestrian camping; the state forest recreation page also lists primitive family and equestrian campgrounds. ([Indiana State Parks][12])
in-lead-in-clark-clark-state-forest-equestrian-campground-coordinate-rescue,IN,Clark State Forest Equestrian Campground,Clark,coordinate_rescue,Rustic / Primitive,Research Needed,High,Indiana DNR official,Official proof; exact horse campground coordinate blocked.,Split from family campground.,Add lead.,,v23.1.68,"DNR says Clark’s equestrian campground is west of I-65 off Winding Road, with 28 sites, hitching posts, pit toilets, water, dump station, and comfort station. ([Indiana Government][14])"
in-lead-in-clark-clark-state-forest-family-campground-coordinate-rescue,IN,Clark State Forest Family Campground,Clark,coordinate_rescue,Rustic / Primitive,Research Needed,High,Indiana DNR official,Official proof; exact campground coordinate blocked.,Split from horse campground.,Add lead.,,v23.1.68,"DNR says Clark State Forest has two nonelectric campgrounds; the family campground is east of I-65 off Winding Road with 40 sites, pit toilets, water, dump station access, and comfort station access. ([Indiana Government][14])"
in-lead-in-clark-deam-lake-state-recreation-area-equestrian-campground-coordinate-rescue,IN,Deam Lake SRA Equestrian Campground,Clark,coordinate_rescue,Rustic / Primitive / Modern split pending,Research Needed,High,Indiana DNR official,Official proof; exact horse-camp coordinate blocked.,Might be Modern if shower/comfort station proof is confirmed; otherwise equestrian layer split.,Add lead.,,v23.1.68,"DNR says Deam Lake’s equestrian campground has 63 electric sites with hitching posts and 36 electric sites with horse stalls, connecting to Clark State Forest trails. ([Indiana Government][27])"
in-lead-in-clark-jackson-washington-knobstone-trail-dispersed-camping-geometry,IN,Knobstone Trail Dispersed Camping System,Clark / Jackson / Washington,research_needed,Boondocking / Dispersed,Research Needed,High,Indiana DNR official,Official rule proof; trail geometry needed.,High-value boondocking/backpack lead.,Add lead.,,v23.1.68,"DNR says dispersed camping is allowed on sections of the Knobstone Trail in Clark and Jackson-Washington State Forest, with restrictions including no camping on certain mile segments and no camping through Fish & Wildlife property. ([Indiana Government][10])"
