id,state,name,countyRegion,leadType,likelyLayer,status,priority,sourceType,coordinateConfidence,blocker,nextAction,relatedActiveOrPendingRecord,lastCheckedVersion,notes
mn-lead-savanna-portage-backpack-walkin-boat-campsites-extraction,MN,Savanna Portage State Park backpack / walk-in / boat-in sites,Aitkin County / McGregor,coordinate_or_promotion_rescue,Boat / Backpack,Official backcountry/walk-in proof; extraction needed,High,Official DNR PDF/map,No individual site coordinates recovered,Keep separate from drive-in campground.,Add extraction lead.,None found,v23.1.60-ledger,"Amenities/access: Backpack/walk-in/boat-in sites Source: DNR map/PDF indicates backpack/walk-in/boat-in camping components. ([DNR Files][18]) Coordinate rescue attempts: Needs official map/GIS extraction, not broad park pin."
mn-lead-savanna-portage-state-park-drive-in-campground-coordinate-rescue,MN,Savanna Portage State Park drive-in campground,Aitkin County / McGregor,coordinate_or_promotion_rescue,Rustic / Primitive,Official campground proof; coordinate rescue needed,High,Official DNR PDF/map,No import-safe campground-loop coordinate recovered,"Official proof strong, coordinate missing.",Add coordinate-rescue lead.,None found,v23.1.60-ledger,Amenities/access: Drive-in sites; state park campground Source: DNR map/PDF shows campground facilities and drive-in camping; screenshot confirms campground inset/facilities. ([DNR Files][18]) Coordinate rescue attempts: GeoPDF/map coordinate extraction needed; do not use park centroid.
mn-lead-mn-becker-smoky-hills-state-forest-dispersed-area-geometry-lead,MN,Smoky Hills State Forest Dispersed Camping Area,Becker,area_geometry_or_coordinate_rescue,Boondocking / Dispersed,Research Needed,High,Official DNR,No honest area marker without DNR boundary extraction.,No centroid import.,Add/keep geometry lead.,Broad state-forest lead context only,v23.1.60-ledger,Amenities/access: Dispersed/rule-area camping; no amenities. Source: DNR forest map/source says dispersed camping outside designated sites/campgrounds is permitted with no furnished amenities or fees. ([DNR Files][14]) Coordinate rescue attempts: Checked DNR source; geometry still needed.
mn-lead-mn-becker-two-inlets-state-forest-dispersed-area-geometry-lead,MN,Two Inlets State Forest Dispersed Camping Area,Becker,area_geometry_or_coordinate_rescue,Boondocking / Dispersed,Research Needed,High,Official DNR,No honest area marker without DNR boundary extraction.,No forest centroid.,Add/keep geometry lead.,Broad state-forest lead context only,v23.1.60-ledger,Amenities/access: Dispersed/rule-area camping; no amenities. Source: DNR source identifies Two Inlets/Smoky Hills dispersed camping rule context; DNR general rule applies unless posted. ([DNR Files][14]) Coordinate rescue attempts: Checked DNR source; geometry still needed.
mn-lead-hungryman-lake-campground-coordinate-rescue,MN,Hungryman Lake Campground,Becker County / Two Inlets State Forest,coordinate_rescue,Rustic / Primitive,`official_state_forest_campground_confirmed_coordinate_needed`,High,Minnesota DNR + Becker County official page,DNR/Becker sources confirm campground; exact campground coordinate needs DNR GeoPDF/GIS extraction.,Do not use lake center or boat ramp as campsite pin.,Extract DNR campground marker from GeoPDF/GIS/reservation data.,,v23.1.57,Worker 1 MN Northwest / Red River / Detroit Lakes. Original final action: EXTERNAL ACCESS REQUIRED. Active duplicate check in worker return: BLOCKED.
mn-lead-wolf-lake-city-campground-coordinate-rescue,MN,Wolf Lake City Campground,Becker County / Wolf Lake,coordinate_rescue,Needs Verification,`official_city_campground_confirmed_coordinate_needed`,High,Becker County official page,County page confirms city-managed campground and amenities; exact coordinate not recovered.,"Likely Modern, but exact point and city/operator confirmation should be pulled.",Verify city page/map and extract official coordinate.,,v23.1.57,Worker 1 MN Northwest / Red River / Detroit Lakes. Original final action: EXTERNAL ACCESS REQUIRED. Active duplicate check in worker return: BLOCKED.
mn-lead-mn-becker-white-earth-state-forest-dispersed-area-geometry-lead,MN,White Earth State Forest Dispersed Camping Area,Becker edge,area_geometry_or_coordinate_rescue,Boondocking / Dispersed,Research Needed,High,Official DNR,No honest area marker without geometry/public-land screening.,No forest centroid.,Add/keep geometry lead only.,Broad state-forest lead context only,v23.1.60-ledger,Amenities/access: Rule-area dispersed camping only. Source: DNR says dispersed camping is allowed in state forests unless posted and must be at least one mile from designated campgrounds/campsites. ([MN DNR][13]) Coordinate rescue attempts: No campground coordinate; needs boundary and exclusions.
mn-lead-beltrami-island-browns-clear-norris-camping-area-rescue,MN,Brown’s Creek / Clear River / Norris Camping Areas,Beltrami Island State Forest / northwest MN,gis_extraction / area_outline_followup,Rustic / Primitive / Boondocking / Dispersed,`official_camping_area_confirmed_geometry_needed`,High,Minnesota DNR official forest map/PDF,Official DNR forest map confirms named camping areas; exact points/area markers need GeoPDF/GIS extraction.,Good named lead set. Do not turn into random road or forest-center pins.,Extract from DNR GeoPDF/GIS; decide site-level vs honest area markers.,,v23.1.57,Worker 1 MN Northwest / Red River / Detroit Lakes. Original final action: ADD TO data/leads.js. Active duplicate check in worker return: BLOCKED.
mn-lead-toqua-park-big-stone-county-campground-proof,MN,Toqua Park / Toqua County Park camping proof,Big Stone,coordinate_rescue,Rustic / Primitive or Modern after official proof,official_source_needed / coordinate_rescue,High,County source needed; secondary park list only recovered,NO HONEST COORDINATE FOUND,Do not use Toqua Lake center or park centroid.,"Find Big Stone County/Toqua Park official page, map, campsite proof, and coordinates; reject if day-use only.",,v23.1.57,Worker 2 MN West-Central / Prairie Lakes / Upper MN River. Original final action: ADD TO data/leads.js. Active duplicate check in worker return: No exact active MN match found.
mn-lead-big-stone-lake-state-park-campground-coordinate-rescue,MN,Big Stone Lake State Park campground,Big Stone / Big Stone Lake / Upper Minnesota River headwaters,coordinate_rescue,Modern Campgrounds or Rustic / Primitive after amenity proof,coordinate_rescue,High,Minnesota DNR official state park page + reservation/GIS/PDF needed,NO HONEST CAMPGROUND COORDINATE FOUND — do not use broad lake/park centroid,"High-value west-edge state park. Do not use Big Stone Lake center, dam, park centroid, or water access as campground coordinate.","Extract MN DNR reservation map, GeoPDF, campground PDF, Recreation Compass/GIS, or contact park office for official campground coordinates and amenities.",,v23.1.57,Worker 2 MN West-Central / Prairie Lakes / Upper MN River. Original final action: ADD TO data/leads.js. Active duplicate check in worker return: No exact active MN match found in v23.1.55 ZIP for “Big Stone Lake State Park”.
mn-lead-upper-minnesota-river-water-trail-campsite-extraction,MN,Upper Minnesota River / Minnesota River State Water Trail camping extraction,Big Stone / Lac qui Parle / Chippewa / Yellow Medicine / Renville corridor,gis_extraction / area_outline_followup,Boat / Backpack if official water-access campsites exist,gis_extraction_needed / official_rule_needed,High,Minnesota DNR water trail maps/PDF/GIS needed,NO HONEST CAMPSITE POINTS FOUND,"Do not import boat launches, dams, water accesses, or river mile markers as campsites.",Extract official DNR water trail map/PDF/GIS; add exact Boat / Backpack only where official overnight campsites are named/located.,,v23.1.57,Worker 2 MN West-Central / Prairie Lakes / Upper MN River. Original final action: ADD TO data/leads.js. Active duplicate check in worker return: No active exact water-trail campsite records found in v23.1.55 ZIP.
mn-lead-blue-earth-bray-park-campground,MN,Bray Park Campground,Blue Earth County,official_proof_followup,Modern Campgrounds / Needs amenity confirmation,official county campground candidate,High,County official,Official Blue Earth County camping reservation page; exact facility details needed,Do not import from name alone; but official page confirms campground reservation system.,Coordinate/amenity rescue from county facility page/map.,,v23.1.57,Worker 3 MN Southwest / I-90 Prairie / Blue Earth River. Original final action: ADD ACTIVE CANDIDATE. Active duplicate check in worker return: REPO CHECK BLOCKED.
mn-lead-blue-earth-daly-park-campground,MN,Daly Park & Campground,Blue Earth County,official_proof_followup,Modern Campgrounds,official county campground candidate,High,County official,Official Blue Earth County facility page gives address and campground features; exact point should come from county map/reservation,Strong active candidate.,Coordinate rescue from county facility map/reservation map.,,v23.1.57,Worker 3 MN Southwest / I-90 Prairie / Blue Earth River. Original final action: ADD ACTIVE CANDIDATE. Active duplicate check in worker return: REPO CHECK BLOCKED.
mn-lead-minneopa-state-park-campground-layer-check,MN,Minneopa State Park Campground,Blue Earth County,official_proof_followup,Modern Campgrounds / Needs Verification,"official campground, layer/source check needed",High,Official MN DNR + reservation follow-up needed,DNR confirms current modernization investment at Minneopa campground; exact amenity and current campground source should come from DNR reservation/map before import,Do not rely on third-party campground pages for final amenity proof.,Check DNR reservation listing and park map; add/correct if absent.,,v23.1.57,Worker 3 MN Southwest / I-90 Prairie / Blue Earth River. Original final action: NEEDS VERIFICATION. Active duplicate check in worker return: REPO CHECK BLOCKED.
mn-lead-mankato-land-of-memories-campground,MN,Land of Memories Campground,Blue Earth County / Mankato,official_proof_followup,Modern Campgrounds / Rustic label in operator copy,official city campground candidate,High,City official,Official City of Mankato campground page; exact point from city map/reservation needed,Strong official city campground. Layer requires electric/shower proof before Modern; otherwise Rustic/Primitive.,Coordinate/amenity rescue; duplicate check.,,v23.1.57,Worker 3 MN Southwest / I-90 Prairie / Blue Earth River. Original final action: ADD ACTIVE CANDIDATE. Active duplicate check in worker return: REPO CHECK BLOCKED.
mn-lead-flandrau-state-park-rustic-campground,MN,Flandrau State Park Rustic Campground,Brown County,official_proof_followup,Rustic / Primitive,official rustic campground candidate,High,Official MN DNR,Official DNR virtual tour; exact coordinate from DNR map/reservation needed,Should not be merged into Modern if map tracks rustic loops separately.,Supervisor split decision; coordinate rescue.,,v23.1.57,Worker 3 MN Southwest / I-90 Prairie / Blue Earth River. Original final action: ADD ACTIVE CANDIDATE. Active duplicate check in worker return: REPO CHECK BLOCKED.
mn-lead-flandrau-state-park-semi-modern-campground,MN,Flandrau State Park Semi-modern Campground,Brown County,official_proof_followup,Modern Campgrounds,official campground candidate,High,Official MN DNR,Official DNR virtual tour; exact coordinate from DNR map/reservation needed,Good active candidate if absent.,Repo duplicate check; coordinate extraction.,,v23.1.57,Worker 3 MN Southwest / I-90 Prairie / Blue Earth River. Original final action: ADD ACTIVE CANDIDATE. Active duplicate check in worker return: REPO CHECK BLOCKED.
