id,state,name,countyRegion,leadType,likelyLayer,status,priority,sourceType,coordinateConfidence,blocker,nextAction,relatedActiveOrPendingRecord,lastCheckedVersion,notes
nd-lake-ashtabula-west-ashtabula-crossing,ND,West Ashtabula Crossing Campground,Barnes / Lake Ashtabula,coordinate_rescue,Rustic / Primitive or Modern pending shower proof,coordinate_rescue,High,USACE / Recreation.gov official,NO HONEST ACTIVE COORDINATE ACCEPTED,Shower proof not found on official page; classify conservatively unless USACE map confirms,Add component lead,,v23.1.70,
nd-valley-city-clausen-springs-park-campground-coordinate-rescue,ND,Clausen Springs Park Campground,Barnes / Lake Ashtabula-Sheyenne corridor,coordinate_rescue,Rustic / Primitive / Modern TBD,coordinate_rescue,High,Existing lead + discovery,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not final-proof from The Dyrt/control snippets,Keep/update lead,,v23.1.70,
nd-valley-city-faust-park-sheyenne-primitive-camping-coordinate-rescue,ND,Faust Park / Sheyenne River primitive camping lead,Barnes / Valley City / Sheyenne River,coordinate_rescue,Rustic / Primitive or Boat / Backpack,coordinate_rescue,High,Discovery only,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not import from user-review source alone,Needs official proof,,v23.1.70,
nd-lead-lake-metigoshe-modern-coordinate-rescue,ND,Lake Metigoshe State Park modern campground coordinate rescue,Bottineau / Turtle Mountains,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official state park / reservation / map needed,NO HONEST COORDINATE FOUND,Camping proof is strong but no defensible campground-loop coordinate has been recovered.,"Extract ReserveNDparks, OuterSpatial/ND Parks POI data, official GIS, or georeference official campground PDF. Do not use park office, lake center, or broad park centroid.",,v23.1.53,
nd-lead-lake-metigoshe-primitive-coordinate-rescue,ND,Lake Metigoshe State Park primitive campground coordinate rescue,Bottineau / Turtle Mountains,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official state park / reservation / map needed,NO HONEST COORDINATE FOUND,Camping proof is strong but no defensible campground-loop coordinate has been recovered.,"Extract ReserveNDparks, OuterSpatial/ND Parks POI data, official GIS, or georeference official campground PDF. Do not use park office, lake center, or broad park centroid.",,v23.1.53,
nd-lead-turtle-river-modern-coordinate-rescue,ND,Turtle River State Park modern campground coordinate rescue,Grand Forks / Arvilla,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official state park / reservation / map needed,NO HONEST COORDINATE FOUND,Camping proof is strong but no defensible campground-loop coordinate has been recovered.,"Extract ReserveNDparks, OuterSpatial/ND Parks POI data, official GIS, or georeference official campground PDF. Do not use park office, lake center, or broad park centroid.",,v23.1.53,
nd-lead-turtle-river-walkin-primitive-coordinate-rescue,ND,Turtle River State Park walk-in primitive camping coordinate rescue,Grand Forks / Arvilla,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,Official state park / reservation / map needed,NO HONEST COORDINATE FOUND,Camping proof is strong but no defensible campground-loop coordinate has been recovered.,"Extract ReserveNDparks, OuterSpatial/ND Parks POI data, official GIS, or georeference official campground PDF. Do not use park office, lake center, or broad park centroid.",,v23.1.53,
nd-beaver-lake-state-park-component-coordinate-rescue,ND,Beaver Lake State Park campground components,Logan / Beaver Lake,coordinate_rescue,Modern + Rustic / Primitive,coordinate_rescue,High,ND Parks official,NO HONEST ACTIVE COORDINATE ACCEPTED,Inside central/east lock; missed state-park component,Add lead,,v23.1.70,
nd-white-earth-bay-campground-coordinate-rescue,ND,White Earth Bay Campground,Mountrail / White Earth / Lake Sakakawea,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official state license list,NO HONEST ACTIVE COORDINATE ACCEPTED,In-scope because Lake Sakakawea north shore,Add coordinate-rescue lead,,v23.1.70,
nd-lead-little-missouri-ng-geometry-upgrade,ND,Little Missouri National Grassland dispersed camping rule-area geometry upgrade,ND area/rule marker follow-up,gis_extraction_needed / area_outline_followup,Boondocking / Dispersed,gis_extraction_needed,High,Official GIS / map georeference,OFFICIAL AREA/RULE MARKER pending; exact geometry not packaged,"Accepted approximate area/rule pin should be followed by official polygon, MVUM, WMA, or route geometry.",Extract official GIS polygons/routes/MVUMs or georeference official maps; update/replace approximate Area pin when current schema supports it.,nd-v23153-little-missouri-ng-dispersed-rule-area,v23.1.53,
nd-lead-wma-devils-lake-polygon-gis,ND,NDGF WMA primitive camping — Devils Lake / north-central cluster polygon follow-up,ND area/rule marker follow-up,gis_extraction_needed / area_outline_followup,Boondocking / Dispersed,gis_extraction_needed,High,Official GIS / map georeference,OFFICIAL AREA/RULE MARKER pending; exact geometry not packaged,"Accepted approximate area/rule pin should be followed by official polygon, MVUM, WMA, or route geometry.",Extract official GIS polygons/routes/MVUMs or georeference official maps; update/replace approximate Area pin when current schema supports it.,nd-v23153-ndgf-wma-devils-lake-north-central-cluster,v23.1.53,
nd-lead-wma-pembina-hills-polygon-gis,ND,NDGF WMA primitive camping — Pembina Hills / northeast cluster polygon follow-up,ND area/rule marker follow-up,gis_extraction_needed / area_outline_followup,Boondocking / Dispersed,gis_extraction_needed,High,Official GIS / map georeference,OFFICIAL AREA/RULE MARKER pending; exact geometry not packaged,"Accepted approximate area/rule pin should be followed by official polygon, MVUM, WMA, or route geometry.",Extract official GIS polygons/routes/MVUMs or georeference official maps; update/replace approximate Area pin when current schema supports it.,nd-v23153-ndgf-wma-pembina-hills-ne-cluster,v23.1.53,
nd-lead-wma-sheyenne-mirror-pool-polygon-gis,ND,NDGF WMA primitive camping — Sheyenne / Mirror Pool / southeast cluster polygon follow-up,ND area/rule marker follow-up,gis_extraction_needed / area_outline_followup,Boondocking / Dispersed,gis_extraction_needed,High,Official GIS / map georeference,OFFICIAL AREA/RULE MARKER pending; exact geometry not packaged,"Accepted approximate area/rule pin should be followed by official polygon, MVUM, WMA, or route geometry.",Extract official GIS polygons/routes/MVUMs or georeference official maps; update/replace approximate Area pin when current schema supports it.,nd-v23153-ndgf-wma-sheyenne-mirror-pool-se-cluster,v23.1.53,
nd-lead-wma-turtle-mountains-polygon-gis,ND,NDGF WMA primitive camping — Turtle Mountains cluster polygon follow-up,ND area/rule marker follow-up,gis_extraction_needed / area_outline_followup,Boondocking / Dispersed,gis_extraction_needed,High,Official GIS / map georeference,OFFICIAL AREA/RULE MARKER pending; exact geometry not packaged,"Accepted approximate area/rule pin should be followed by official polygon, MVUM, WMA, or route geometry.",Extract official GIS polygons/routes/MVUMs or georeference official maps; update/replace approximate Area pin when current schema supports it.,nd-v23153-ndgf-wma-turtle-mountains-cluster,v23.1.53,
nd-lead-sheyenne-ng-geometry-upgrade,ND,Sheyenne National Grassland dispersed/open-prairie camping geometry upgrade,ND area/rule marker follow-up,gis_extraction_needed / area_outline_followup,Boondocking / Dispersed,gis_extraction_needed,High,Official GIS / map georeference,OFFICIAL AREA/RULE MARKER pending; exact geometry not packaged,"Accepted approximate area/rule pin should be followed by official polygon, MVUM, WMA, or route geometry.",Extract official GIS polygons/routes/MVUMs or georeference official maps; update/replace approximate Area pin when current schema supports it.,nd-v23153-sheyenne-ng-dispersed-rule-area,v23.1.53,
nd-lead-sheyenne-water-trail-corridor-upgrade,ND,Sheyenne River Water Trail semi-primitive camping corridor geometry/site upgrade,ND area/rule marker follow-up,gis_extraction_needed / area_outline_followup,Boat / Backpack,gis_extraction_needed,High,Official GIS / map georeference,OFFICIAL AREA/RULE MARKER pending; exact geometry not packaged,"Accepted approximate area/rule pin should be followed by official polygon, MVUM, WMA, or route geometry.",Extract official GIS polygons/routes/MVUMs or georeference official maps; update/replace approximate Area pin when current schema supports it.,nd-v23153-sheyenne-river-water-trail-corridor,v23.1.53,
nd-lead-icelandic-modern-coordinate-rescue,ND,Icelandic State Park modern campground coordinate rescue,Pembina / Cavalier / Lake Renwick,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official state park / reservation / map needed,NO HONEST COORDINATE FOUND,Camping proof is strong but no defensible campground-loop coordinate has been recovered.,"Extract ReserveNDparks, OuterSpatial/ND Parks POI data, official GIS, or georeference official campground PDF. Do not use park office, lake center, or broad park centroid.",,v23.1.53,
nd-lead-grahams-island-modern-coordinate-rescue,ND,Grahams Island State Park modern campground coordinate rescue,Ramsey / Devils Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official state park / reservation / map needed,NO HONEST COORDINATE FOUND,Camping proof is strong but no defensible campground-loop coordinate has been recovered.,"Extract ReserveNDparks, OuterSpatial/ND Parks POI data, official GIS, or georeference official campground PDF. Do not use park office, lake center, or broad park centroid.",,v23.1.53,
nd-lead-fort-ransom-modern-horse-coordinate-rescue,ND,Fort Ransom State Park modern / horse campground coordinate rescue,Ransom / Fort Ransom,coordinate_rescue,Modern Campgrounds or Rustic / Primitive by loop,coordinate_rescue,High,Official state park / reservation / map needed,NO HONEST COORDINATE FOUND,Camping proof is strong but no defensible campground-loop coordinate has been recovered.,"Extract ReserveNDparks, OuterSpatial/ND Parks POI data, official GIS, or georeference official campground PDF. Do not use park office, lake center, or broad park centroid.",,v23.1.53,
nd-lead-mineral-springs-sheyenne-river-state-forest,ND,Mineral Springs / Sheyenne River State Forest primitive backcountry-camping lead,Ransom County / Sheyenne River State Forest,official_proof_needed,Boat / Backpack if official proof recovered,agency_contact_needed,High,North Dakota Forest Service source needed,LEAD COORDINATE ONLY — NOT IMPORT COORDINATE,"Secondary source claims primitive backcountry camping near Mineral Springs/Sheyenne River State Forest, but official NDFS proof was not recovered.","Acquire official NDFS page/PDF/rules; confirm camping legality, exact allowed area, and whether waterfall/trail coordinate is appropriate.",,v23.1.53,
nd-wahpeton-kidder-recreation-area-campground,ND,Kidder Recreation Area Campground,Richland / Wahpeton,coordinate_rescue,Modern Campgrounds + Rustic / Primitive tent area,coordinate_rescue,High,City official,NO HONEST ACTIVE COORDINATE ACCEPTED,Good municipal component; keep RV and tent area split in notes,Add lead; coordinate rescue,,v23.1.70,
nd-lead-sheyenne-river-water-trail-sites,ND,Sheyenne River Water Trail exact semi-primitive sites,Sheyenne River corridor,coordinate_rescue / area_outline_followup,Boat / Backpack,gis_extraction_needed,High,Official water trail maps/GIS,NO HONEST COORDINATE FOUND,"Approximate corridor marker is pending/accepted, but exact semi-primitive site points remain unresolved.",Extract official water trail campsite/site-map coordinates or georeference official water trail maps.,nd-v23153-sheyenne-river-water-trail-corridor,v23.1.53,
nd-patterson-lake-recreation-area-coordinate-rescue,ND,Patterson Lake Recreation Area Campground,Stark / Dickinson,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official city/parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not use lake center or broad recreation-area center,Add durable coordinate-rescue lead,,v23.1.70,
