id,state,name,countyRegion,leadType,likelyLayer,status,priority,sourceType,coordinateConfidence,blocker,nextAction,relatedActiveOrPendingRecord,lastCheckedVersion,notes
ar-lead-dale-bumpers-white-river-nwr-designated-campgrounds-extraction,AR,Dale Bumpers White River NWR Designated Campgrounds,Arkansas / Desha / Monroe / Phillips / White River NWR,coordinate_rescue,Boondocking / Dispersed,coordinate_rescue,High,Official FWS refuge page + official public-use PDF,"Official FWS regulation PDF; high rule proof, geometry blocked","Official camping allowed only in designated campgrounds; campground list/points blocked; Do not import refuge office or broad refuge centroid as campsite marker.; Need map legend/campground names and coordinates from FWS PDF map, Access Map, GIS, or agency contact. Screenshot of relevant PDF page succeeded for regulation text; map/campground points not extracted.",Add lead; extract designated campground names/points before active import.,,v23.1.75,YES — FWS access map / public-use PDF / GIS extraction
ar-lead-wilbur-d-mills-campground-ridb-coordinate-rescue,AR,Wilbur D. Mills Campground,Arkansas County / Arkansas River / USACE,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Non-final search result + official acquisition path required,Non-final public source says campground exists; official Recreation.gov/RIDB needed,"Named target; non-final proof found, official metadata blocked; Dam/lock/water-control structures are reject-trap proxies.; Need exact Recreation.gov/RIDB facility page/coordinate. Do not use Wilbur D. Mills Dam coordinate.",Add lead only.,,v23.1.75,YES — Recreation.gov/RIDB/USACE map
ar-external-usace-arkansas-river-ridb-recreationgov-extraction,AR,Arkansas River USACE Campground Metadata Extraction,Arkansas River / Little Rock District,external_access_required,Info / Reference,external_access_required,High,Official metadata acquisition path,RIDB/Recreation.gov/USACE extraction path; no safe coordinates in current environment,"External official metadata needed; This is the blocker row for the named Arkansas River USACE targets.; Use RIDB API, Recreation.gov facility pages, USACE district GIS/PDF maps, or normal browser map/imagery verification.","Acquire official metadata, then promote clean campground rows.",,v23.1.75,YES — RIDB/API/devtools/QGIS/USACE GIS
ar-lead-merrisach-lake-park-campground-ridb-coordinate-rescue,AR,Merrisach Lake Park / Campground,Arkansas River / USACE Little Rock District,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official acquisition path required,Not safely recovered in this session; expected USACE/RIDB/Recreation.gov,Named target; official coordinate source blocked; Cannot honestly promote without official page or coordinate.; Searches for swl.usace.mil/Recreation.gov were blocked/empty; do not use dam/river/boat-ramp/proxy.,Add durable lead; extract official facility data.,,v23.1.75,YES — RIDB/Recreation.gov metadata or USACE project GIS
ar-lead-notrebe-bend-park-campground-ridb-coordinate-rescue,AR,Notrebe / Notrebes Bend Park / Campground,Arkansas River / USACE Little Rock District,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official acquisition path required,Not safely recovered in this session; expected USACE/RIDB/Recreation.gov,"Named target; official coordinate source blocked; Name spelling must be standardized from official source.; Need RIDB/Recreation.gov/USACE source; do not use Arkansas River bend, ghost-town/history point, or boat ramp as campground pin.",Add lead with alias watch.,,v23.1.75,YES — RIDB/Recreation.gov/USACE GIS
ar-lead-pendleton-bend-campground-ridb-coordinate-rescue,AR,Pendleton Bend Campground / Park,Arkansas River / USACE Little Rock District,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official acquisition path required,Not safely recovered in this session; expected USACE/RIDB/Recreation.gov,Named target; official coordinate source blocked; Potential same-system component along Arkansas River.; Need Recreation.gov/RIDB facility coordinate or USACE map; do not use river/dam/boat ramp proxy.,Add lead; promote only with official coordinate.,,v23.1.75,YES — RIDB/Recreation.gov/USACE GIS
ar-lead-tar-camp-park-campground-ridb-coordinate-rescue,AR,Tar Camp Park / Campground,Arkansas River / USACE Little Rock District,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official acquisition path required,Not safely recovered in this session; expected USACE/RIDB/Recreation.gov,"Named target; official coordinate source blocked; Same-system Arkansas River component.; Need official USACE/RIDB/Recreation.gov data; do not use park centroid, boat ramp, or riverbank.",Add durable coordinate-rescue lead.,,v23.1.75,YES — RIDB/Recreation.gov/USACE GIS
ar-v74-arkansas-river-usace-cluster,AR,Arkansas River USACE campground cluster,Arkansas River east/southeast Arkansas,coordinate_rescue,Modern / Rustic components,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Merrisach Lake, Notrebes Bend, Pendleton Bend, Wilbur D. Mills, Tar Camp and related river facilities need official coordinate/status extraction.",Acquire USACE Little Rock District/Recreation.gov/RIDB metadata; reject if only day-use/ramp.,,v23.1.74,
ar-felsenthal-nwr-designated-primitive-camping-geometry,AR,Felsenthal NWR Designated Primitive Camping Areas,Ashley / Union / Bradley / Felsenthal NWR,update_existing_lead,Boat / Backpack,update_existing_lead,High,Official USFWS + official GeoPDF,Official proof; no exact campsite coordinates extracted,"geometry_rescue; Do **not** use refuge headquarters, refuge map center, boat ramps, access coordinates, or generic Grand Marais access as campsite pins; Checked FWS camping page, 2019 public-use PDF, 2024 FWS georeferenced PDF, and AGFC water-trail PDF. No safe point coordinate returned without GeoPDF extraction.",Keep/update lead; send to QGIS/GDAL/GeoPDF extraction,,v23.1.75,"Yes — extract the ten FWS camping-area symbols from `fsl_georef_2024.pdf`, `FSLGeoRefMap_2021.aprx`, UTM Zone 15N, NAD83"
ar-felsenthal-crossett-harbor-grand-marais-improved-camping,AR,Crossett Harbor / Grand Marais Improved Camping,Ashley / Union / Felsenthal NWR,update_existing_lead,Rustic / Primitive,update_existing_lead,High,Official USFWS + AGFC water-trail PDF,Official improved-camping proof; exact camping coordinate blocked,"coordinate_rescue; The trap is obvious: access/ramp coordinate ≠ camping coordinate unless source symbols prove colocation; Grand Marais Access coordinate exists in AGFC water-trail PDF, but that is an access coordinate; I did not promote it as a campground coordinate.",Keep/update lead; do not active-import until symbol/coordinate extraction,,v23.1.75,Yes — extract camping/RV symbols from FWS 2024 GeoPDF and confirm whether Grand Marais Access point is colocated with the improved camping area
