id,state,name,countyRegion,leadType,likelyLayer,status,priority,sourceType,coordinateConfidence,blocker,nextAction,relatedActiveOrPendingRecord,lastCheckedVersion,notes
mi-v23192-lead-pictured-rocks-rv-park-and-campground,MI,Pictured Rocks RV Park & Campground,Alger / Christmas,up_public_discovery_coordinate_or_correction_rescue_v23192,Private Campgrounds,coordinate_rescue,High,UP public-discovery worker return,NO HONEST ACTIVE-MAP COORDINATE ACCEPTED,Operator proof and address only; exact campground pin needed.,"Acquire official/operator map, reservation map, Google/Apple/Bing map POI, OSM/Overpass point, DNR/USFS GIS, aerial-confirmed campground loop, or direct agency/operator confirmation. Do not use lake centers, park centroids, offices, boat launches, ferry docks, beaches, trailheads, or broad property centers.",,v23.1.92,
mi-lead-hiawatha-rapid-river-manistique-dispersed-rule-area,MI,Hiawatha NF Rapid River / Manistique dispersed camping rule area,"Alger / Delta / Schoolcraft / Mackinac / Chippewa, especially Rapid River and Manistique Ranger District context",gis_extraction_needed / area_outline_followup,Boondocking / Dispersed or Info / Reference,area_outline_followup,High,Prior MI/UP worker/supervisor returns; USFS/MVUM/GIS follow-up needed,NO HONEST COORDINATE FOUND,Prior work proved this as an important dispersed/rule-area lead but did not recover a defensible official geometry or honest area marker. Parent/contact/gateway coordinates were not accepted as camping coordinates.,"Extract Hiawatha NF official boundary, ownership/surface-management, MVUM/dispersed rule geometry, and district-specific camping restrictions. Use QGIS/GDAL or official USFS GIS. Do not use ranger office, forest centroid, trailhead, or campground points.",None found as active rule-area row; exact Hiawatha primitive campsite records exist separately in the MI supplement.,v23.1.54-historical-backfill,This is probably the single most important UP boondocking historical lead to persist.
mi-v23192-lead-au-train-lake-campground,MI,Au Train Lake Campground,Alger / Hiawatha NF,up_public_discovery_coordinate_or_correction_rescue_v23192,Rustic / Primitive,coordinate_rescue,High,UP public-discovery worker return,NO HONEST ACTIVE-MAP COORDINATE ACCEPTED,Recreation.gov proof; only third-party coordinate captured.,"Acquire official/operator map, reservation map, Google/Apple/Bing map POI, OSM/Overpass point, DNR/USFS GIS, aerial-confirmed campground loop, or direct agency/operator confirmation. Do not use lake centers, park centroids, offices, boat launches, ferry docks, beaches, trailheads, or broad property centers.",,v23.1.92,
mi-v23192-lead-wandering-wheels-campground,MI,Wandering Wheels Campground,Alger / Munising-Hiawatha NF,up_public_discovery_coordinate_or_correction_rescue_v23192,Private Campgrounds,coordinate_rescue,High,UP public-discovery worker return,NO HONEST ACTIVE-MAP COORDINATE ACCEPTED,Tourism proof only; current direct operator proof/coordinate not captured.,"Acquire official/operator map, reservation map, Google/Apple/Bing map POI, OSM/Overpass point, DNR/USFS GIS, aerial-confirmed campground loop, or direct agency/operator confirmation. Do not use lake centers, park centroids, offices, boat launches, ferry docks, beaches, trailheads, or broad property centers.",,v23.1.92,
mi-v23192-lead-pictured-rocks-national-lakeshore-backcountry-campsite-system,MI,Pictured Rocks National Lakeshore backcountry campsite system,Alger / Pictured Rocks NL,up_public_discovery_coordinate_or_correction_rescue_v23192,Boat / Backpack,coordinate_rescue,High,UP public-discovery worker return,NO HONEST ACTIVE-MAP COORDINATE ACCEPTED,Official permit system; exact individual campsite coordinates not captured.,"Acquire official/operator map, reservation map, Google/Apple/Bing map POI, OSM/Overpass point, DNR/USFS GIS, aerial-confirmed campground loop, or direct agency/operator confirmation. Do not use lake centers, park centroids, offices, boat launches, ferry docks, beaches, trailheads, or broad property centers.",,v23.1.92,
mi-v23192-lead-munising-pictured-rocks-koa-journey,MI,Munising / Pictured Rocks KOA Journey,Alger / Wetmore,up_public_discovery_coordinate_or_correction_rescue_v23192,Private Campgrounds,coordinate_rescue,High,UP public-discovery worker return,NO HONEST ACTIVE-MAP COORDINATE ACCEPTED,KOA/operator proof and address only; exact campground pin needed.,"Acquire official/operator map, reservation map, Google/Apple/Bing map POI, OSM/Overpass point, DNR/USFS GIS, aerial-confirmed campground loop, or direct agency/operator confirmation. Do not use lake centers, park centroids, offices, boat launches, ferry docks, beaches, trailheads, or broad property centers.",,v23.1.92,
mi-v23192-lead-bay-de-noc-grand-island-trail-camping-horse-assembly-areas,MI,Bay de Noc–Grand Island Trail camping / horse assembly areas,Alger/Delta edge / M-94 corridor,up_public_discovery_coordinate_or_correction_rescue_v23192,Boat / Backpack,coordinate_rescue,High,UP public-discovery worker return,NO HONEST ACTIVE-MAP COORDINATE ACCEPTED,USFS trail/assembly area proof but in-lock coordinates/county boundary unresolved.,"Acquire official/operator map, reservation map, Google/Apple/Bing map POI, OSM/Overpass point, DNR/USFS GIS, aerial-confirmed campground loop, or direct agency/operator confirmation. Do not use lake centers, park centroids, offices, boat launches, ferry docks, beaches, trailheads, or broad property centers.",,v23.1.92,
mi-v23192-lead-bay-mills-riverview-park-and-campground-riverview-campground,MI,Bay Mills RiverView Park & Campground / Riverview Campground,Chippewa / Bay Mills-Brimley,up_public_discovery_coordinate_or_correction_rescue_v23192,Private Campgrounds,coordinate_rescue,High,UP public-discovery worker return,NO HONEST ACTIVE-MAP COORDINATE ACCEPTED,"Official/community address proof, but exact campground pin and name/address split required.","Acquire official/operator map, reservation map, Google/Apple/Bing map POI, OSM/Overpass point, DNR/USFS GIS, aerial-confirmed campground loop, or direct agency/operator confirmation. Do not use lake centers, park centroids, offices, boat launches, ferry docks, beaches, trailheads, or broad property centers.",,v23.1.92,
mi-v23192-lead-bay-mills-sunrise-rv-park-naming-coordinate-resolution,MI,Bay Mills Sunrise RV Park naming/coordinate resolution,Chippewa / Bay Mills-Brimley,up_public_discovery_coordinate_or_correction_rescue_v23192,Private Campgrounds,coordinate_rescue,High,UP public-discovery worker return,NO HONEST ACTIVE-MAP COORDINATE ACCEPTED,"Medium coordinate exists, but sources conflict between Sunrise/Riverview naming at W Lakeshore addresses.","Acquire official/operator map, reservation map, Google/Apple/Bing map POI, OSM/Overpass point, DNR/USFS GIS, aerial-confirmed campground loop, or direct agency/operator confirmation. Do not use lake centers, park centroids, offices, boat launches, ferry docks, beaches, trailheads, or broad property centers.",,v23.1.92,
mi-v23192-lead-chippewa-landing-of-bay-mills,MI,Chippewa Landing of Bay Mills,Chippewa / Bay Mills-Brimley,up_public_discovery_coordinate_or_correction_rescue_v23192,Private Campgrounds,proof_or_policy_rescue,High,UP public-discovery worker return,NO HONEST ACTIVE-MAP COORDINATE ACCEPTED,Operator/current booking proof not fully recovered.,"Acquire official/operator map, reservation map, Google/Apple/Bing map POI, OSM/Overpass point, DNR/USFS GIS, aerial-confirmed campground loop, or direct agency/operator confirmation. Do not use lake centers, park centroids, offices, boat launches, ferry docks, beaches, trailheads, or broad property centers.",,v23.1.92,
