id,state,name,countyRegion,leadType,likelyLayer,status,priority,sourceType,coordinateConfidence,blocker,nextAction,relatedActiveOrPendingRecord,lastCheckedVersion,notes
ne-lead-streeter-park-identity-proof,NE,Streeter Park Campground identity / municipal proof,"Aurora / Hamilton County area, verify",coordinate_rescue / agency_contact_needed,"Rustic / Primitive, Modern Campgrounds, or Needs Verification",coordinate_rescue,High,Active state file + municipal/operator proof needed,Low,"Active description says “Or maybe one of the other parks in town,” so identity and coordinate are unresolved.","Verify exact campground/park name, city/county operator source, camping permission, coordinate, and service level. Reject or move to Needs Verification if no honest identity can be made.",s886 Streeter Park Campground,v23.1.54-historical-backfill,Similar to Bow Creek: the old row admits it may be wrong.
ne-lead-nnf-bessey-natick-campground-geography-review,NE,Natick Campground,Bessey Ranger District / western Sandhills edge,coordinate_rescue,Rustic / Primitive,Official USFS campground; geography edge review,High,USFS official,Official USFS search-result coordinate / medium-high,"Good non-modern lead, but likely just outside the named western counties",Add lead pending geography acceptance,,v23.1.68,"USFS search result lists Natick as a 17-unit campground with 20 corrals, vault toilets, no potable water, and official coordinates. ([US Forest Service][7])"
ne-lead-bow-creek-recreation-area-identity-coordinate,NE,Bow Creek Recreation Area identity / coordinate rescue,"Bow Creek / northeast NE, verify county",coordinate_rescue,Rustic / Primitive or Boondocking / Dispersed,coordinate_rescue,High,Active state file; future official/operator proof needed,Low,Active description says it might be a different Bow Creek stop and only “somewhere near here.” That is not an honest exact campsite coordinate.,"Find official USACE/local/operator page, campground/recreation-area map, or community proof. Replace coordinate if a real campground/camping area is proven; otherwise move to rejected/no-honest-map-record.",s129 Bow Creek Recreation Area,v23.1.54-historical-backfill,High-value cleanup because the row itself confesses the problem.
ne-lead-ne-brown-ainsworth-east-city-park-campground,NE,Ainsworth East City Park Campground,Brown / Ainsworth,coordinate_rescue,Rustic / Primitive,New active candidate,High,City official,Official city proof; coordinate needs final snap,"Active candidate proof exists, but no import-safe coordinate was available in the worker return. Address/map/reservation coordinate rescue required.",Add active after coordinate check,,v23.1.68,"City says tents and RVs are allowed in East City Park, first-come/first-served, April–October, with no-hookup tent and water/electric RV rates plus dump fee. ([cityofainsworth.com][16])"
ne-long-pine-sra-basic-campground-coordinate-rescue,NE,Long Pine SRA Basic Campground,Brown / Long Pine,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,NE_W4 v23.1.69 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Good non-modern target, coordinate blocked",Extract official campground map/GIS,,v23.1.69,
ne-lead-long-pine-sra-basic-campground-coordinate-rescue,NE,Long Pine SRA Basic Campground,Brown / Long Pine Creek,coordinate_rescue,Rustic / Primitive,Official coordinate rescue lead,High,Nebraska Game & Parks,Official address/proof; exact campground point not extracted,Good non-modern target,Add lead; promote after coordinate snap,,v23.1.68,"NGPC says Long Pine has eight non-electric pads and 21 non-pad Basic sites, all first-come, first-served, with 14-day stay limit. ([Nebraska Game & Parks Commission][10])"
ne-lead-sandy-channel-sra-primitive-campground,NE,Sandy Channel SRA Primitive Camping,Buffalo / Elm Creek-Kearney corridor,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,NE_W5 v23.1.69 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong non-modern lead,Add lead,,v23.1.69,
ne-lead-union-pacific-sra-basic-camping,NE,Union Pacific SRA Basic Camping,Buffalo / Kearney,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,NE_W5 v23.1.69 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Small obvious central-corridor primitive/basic miss,Add lead,,v23.1.69,
ne-lead-ne-buffalo-sandy-channel-sra,NE,Sandy Channel SRA campground,Buffalo / Kearney-Gibbon,coordinate_rescue,Rustic / Primitive,active_candidate,High,Nebraska Game & Parks,Official proof; coordinate not recovered,"Active candidate proof exists, but no import-safe coordinate was available in the worker return. Address/map/reservation coordinate rescue required.",Add lead if coordinate unavailable,,v23.1.68,"NGPC says Sandy Channel offers 30 non-pad campsites without electricity, year-round, first-come-first-served. ([Nebraska Game & Parks Commission][18])"
ne-lead-ravenna-annevar-park-rv-camping-coordinate-rescue,NE,Annevar Park RV Hookups,Buffalo / Ravenna,coordinate_rescue,Rustic / Primitive or Modern after shower proof,lead_coordinate_rescue,High,City official,Official city proof; coordinate not safely recovered,Electric/water alone does not prove Modern; layer after restroom/shower proof,Add lead,,v23.1.68,"City of Ravenna says Annevar Park has 10 RV hookups with water and electric, first-come-first-served, plus dump station nearby. ([Ravenna][29])"
ne-lead-ravenna-buffalo-county-recreation-area-camping,NE,Buffalo County Recreation Area / Ravenna Lake Campground,Buffalo / Ravenna,coordinate_rescue,Modern + Rustic / Primitive,coordinate_rescue,High,NE_W5 v23.1.69 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Don’t final-proof solely from tourism/directory snippets,Add lead; verify with county/operator,,v23.1.69,
ne-lead-summit-lake-primitive-equestrian-camping,NE,Summit Lake Primitive Equestrian Camping,Burt / Summit Lake,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,NE_W6 v23.1.69 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Don’t make this look like always-open horse camping,Add lead,,v23.1.69,
ne-lead-ne-w8-pelican-point-sra,NE,Pelican Point SRA,Burt / Tekamah,coordinate_rescue,Rustic / Primitive,Official proof strong; coordinate rescue needed,High,Official state,Official NGPC page,"Active candidate proof exists, but no import-safe coordinate was available in the worker return. Address/map/reservation coordinate rescue required.",Add after coordinate rescue,,v23.1.68,"NGPC lists six primitive campsites, vault restrooms, no potable water, and Missouri River access. ([Nebraska Game & Parks Commission][21])"
ne-lead-ne-w8-summit-lake-sra,NE,Summit Lake SRA,Burt / Tekamah,coordinate_rescue,Rustic / Primitive,Official proof strong; coordinate rescue needed,High,Official state,Official NGPC page,"Active candidate proof exists, but no import-safe coordinate was available in the worker return. Address/map/reservation coordinate rescue required.",Add after coordinate rescue,,v23.1.68,"NGPC lists Electric Plus and Basic camping, primitive overnight equestrian by superintendent approval, water, shower house, primitive restrooms, dump station. ([Nebraska Game & Parks Commission][20])"
ne-burt-pelican-point-sra-primitive-campground,NE,Pelican Point SRA Primitive Campground,Burt / Tekamah / Missouri River,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,NE_W6 v23.1.69 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Missouri River primitive target,Add active after coordinate snap,,v23.1.69,
ne-lead-ne-w8-oxbow-trail-nrd,NE,Oxbow Trail Recreation Area,Butler / Ulysses,coordinate_rescue,Rustic / Primitive,Official NRD proof strong,High,Official NRD,Official NRD address/page; coordinate needed,"Active candidate proof exists, but no import-safe coordinate was available in the worker return. Address/map/reservation coordinate rescue required.",Add after coordinate spot-check,,v23.1.68,"Upper Big Blue NRD says Oxbow Trail is open to hiking and camping; NRD page lists camping, restrooms, tent camping. ([upperbigblue.org][45])"
ne-lead-ne-w8-louisville-platte-river-special-site,NE,Louisville SRA special Platte River campsite,Cass / Louisville,coordinate_rescue,Boat / Backpack or Rustic / Primitive,Strong lead; exact coordinate blocked,High,Official state,Official NGPC page mentions special campsite; exact point unavailable,Do not use boat ramp or beach as proxy,Add lead,,v23.1.68,NGPC notes a special campsite on the Platte River. ([Nebraska Game & Parks Commission][27])
ne-lead-ne-w8-platte-river-basic-sites,NE,Platte River State Park basic sites,Cass / Louisville,coordinate_rescue,Rustic / Primitive,Strong lead; exact coordinate needed,High,Official state,Official NGPC confirms four basic sites,Do not merge with full-hookup loop if split layer desired,Add lead,,v23.1.68,NGPC says four basic first-come sites are available near the playground. ([Nebraska Game & Parks Commission][26])
ne-lead-louisville-sra-special-platte-river-campsite,NE,Louisville SRA Special Platte River Campsite,Cass / Louisville / Platte River,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,NE_W6 v23.1.69 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Very good Boat/Backpack candidate but exact point blocked,Add durable lead,,v23.1.69,
ne-lead-platte-river-state-park-basic-campsites-water-trail-context,NE,Platte River SP Basic Campsites / Water Trail Context,Cass / Platte River SP,coordinate_rescue,Rustic / Primitive / Boat-Backpack context,coordinate_rescue,High,NE_W6 v23.1.69 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Basic sites are separate from full-hookup campground,Add lead,,v23.1.69,
ne-lead-cass-weeping-water-city-campground-coordinate-rescue,NE,Weeping Water City Campground,Cass / Weeping Water,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,NE_W7 v23.1.69 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,No shower proof; Rustic safest unless upgraded,Add lead,,v23.1.69,
ne-lead-ne-w8-weeping-water-city-campground,NE,Weeping Water City Lake / Campground,Cass / Weeping Water,coordinate_rescue,Rustic / Primitive,Official city proof; coordinate rescue needed,High,Official city,City campground page; exact camping area needed,"Active candidate proof exists, but no import-safe coordinate was available in the worker return. Address/map/reservation coordinate rescue required.",Add after coordinate rescue,,v23.1.68,City lists campground fees for electrical and tent camping; visitor page confirms City Lake camping. ([City of Weeping Water Nebraska][37])
ne-lead-central-south-wma-primitive-camping-geometry,NE,Central/South Nebraska WMA Primitive Camping Geometry,Central Platte / Republican / Loup / Sandhills edge,geometry_cleanup,Boondocking / Dispersed,geometry_cleanup,High,NE_W5 v23.1.69 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,No statewide mush pin. Extract specific WMA polygons/access/legal camping status.,Update or add durable geometry lead,,v23.1.69,
ne-lead-enders-sra-and-rock-creek-lake-campground-splits,NE,Enders Reservoir SRA and Rock Creek Lake SRA campgrounds,Chase / Dundy edge,coordinate_rescue,Modern Campgrounds + Rustic / Primitive,Official proof; coordinate extraction needed,High,Nebraska Game & Parks official,Official page proof; exact campground points not extracted,Southwest reservoir campgrounds in lock; good non-modern component at Rock Creek,Add lead,,v23.1.68,"NGPC says Enders has Electric Plus, Primitive, and Basic camping with showers/restrooms/water/dump station; Rock Creek Lake has Basic camping, 23 non-pad sites, vault toilets, and no fresh water. ([Nebraska Game & Parks Commission][19])"
