id,state,name,countyRegion,leadType,likelyLayer,status,priority,sourceType,coordinateConfidence,blocker,nextAction,relatedActiveOrPendingRecord,lastCheckedVersion,notes
oh-lead-mohican-state-park-group-primitive-components,OH,Mohican State Park Group / Primitive / Walk-in Components,Ashland / Mohican area,research_needed,Rustic / Primitive or Boat / Backpack,component split lead,High,Official ODNR / reservation source,No safe separate component coordinate recovered in worker pass,Keep as lead unless exact component coordinates are recovered.,Supervisor should split only if official inventory makes components clear.,Parent not active in current OH; proposed parent row above,v23.1.65,OH_W2 first-pass return. Source/citation text: ODNR Mohican State Park page; ReserveOhio component inventory; ODNR map
oh-lead-mohican-memorial-state-forest-park-and-pack,OH,Mohican-Memorial State Forest Park-and-Pack / Primitive Trail Camps,Ashland / Richland edge,research_needed,Boat / Backpack,official forest camping likely; extraction needed,High,Official ODNR state forest source / map needed,No safe trail-camp coordinate recovered,No broad state forest area marker without explicit rule/zone language.,Add only after exact designated sites or honest area marker proof is recovered.,No OH active match found,v23.1.65,OH_W2 first-pass return. Source/citation text: ODNR Mohican-Memorial State Forest page/maps; official state forest map
oh-athens-strouds-run-state-park-campground-coordinate-rescue,OH,Strouds Run State Park Campground,Athens,research_needed,Rustic / Primitive,Research Needed,High,ODNR PDF/table,ODNR camping-table proof; exact coordinate and amenities blocked.,Do not use lake/park centroid.,Add lead.,NO ACTIVE IN-LOCK OH ROW FOUND,v23.1.65,OH_W4 first-pass return. Source/citation text: ODNR camping table lists Strouds Run as a camping state park in the southeast region.
oh-v73-lake-snowden-coordinate-rescue,OH,Lake Snowden Campground,Athens / Albany,coordinate_rescue,Private Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Official/source proof exists but exact campsite/campground coordinate is still blocked or medium-only.,"Use operator map, parcel/imagery check, or direct campground coordinate; consider horse-camp component if exact point emerges.",,v23.1.73,
oh-belmont-barkcamp-state-park-campground-coordinate-rescue,OH,Barkcamp State Park Campground,Belmont,research_needed,Modern Campgrounds,Research Needed,High,ODNR PDF/table,ODNR camping-table proof; exact coordinate blocked.,State park campground lead.,Add lead.,NO ACTIVE IN-LOCK OH ROW FOUND,v23.1.65,OH_W4 first-pass return. Source/citation text: ODNR camping table lists Barkcamp as a southeast-region camping park.
oh-lead-hueston-woods-state-park-campground,OH,Hueston Woods State Park Campground,Butler / Preble,coordinate_rescue,Modern Campgrounds,ODNR campground; coordinate rescue,High,Official ODNR state park/map/reservation source path,NO HONEST IMPORT COORDINATE RECOVERED in accessible tools; official map/reservation/GIS extraction needed.,"Good future active candidate, but not safe to import until campground loop/component coordinate is recovered.","Use normal browser ODNR page/reservation map, ODNR GIS/static map, or georeference official map; add active row only after point lands on campground/component.",NO ACTIVE OH MATCH FOUND in current OH.js unless otherwise noted,v23.1.65,OH_W3 first-pass return. Source/citation text: https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/hueston-woods-state-park ; https://ohiodnr.gov/static/documents/parks/parkmaps/huestonwoodsparkmap.pdf
oh-v73-kiser-lake-coordinate-rescue,OH,Kiser Lake State Park Campground,Champaign,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Official/source proof exists but exact campsite/campground coordinate is still blocked or medium-only.,Extract ReserveOhio or georeference official map; keep Rustic unless electric/full-service proof emerges.,,v23.1.73,
oh-lead-kiser-lake-state-park-campground,OH,Kiser Lake State Park Campground,Champaign County,coordinate_rescue,Rustic / Primitive,ODNR campground; layer/coordinate rescue,High,Official ODNR state park/map/reservation source path,NO HONEST IMPORT COORDINATE RECOVERED in accessible tools; official map/reservation/GIS extraction needed.,"Good future active candidate, but not safe to import until campground loop/component coordinate is recovered.","Use normal browser ODNR page/reservation map, ODNR GIS/static map, or georeference official map; add active row only after point lands on campground/component.",NO ACTIVE OH MATCH FOUND in current OH.js unless otherwise noted,v23.1.65,OH_W3 first-pass return. Source/citation text: https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/kiser-lake-state-park ; https://ohiodnr.gov/static/documents/parks/parkmaps/kiserlakeparkmap.pdf
oh-lead-buck-creek-state-park-campground,OH,Buck Creek State Park Campground,Clark County / Springfield,coordinate_rescue,Modern Campgrounds,ODNR/USACE reservoir campground; coordinate rescue,High,Official ODNR state park/map/reservation source path,NO HONEST IMPORT COORDINATE RECOVERED in accessible tools; official map/reservation/GIS extraction needed.,"Good future active candidate, but not safe to import until campground loop/component coordinate is recovered.","Use normal browser ODNR page/reservation map, ODNR GIS/static map, or georeference official map; add active row only after point lands on campground/component.",NO ACTIVE OH MATCH FOUND in current OH.js unless otherwise noted,v23.1.65,OH_W3 first-pass return. Source/citation text: https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/buck-creek-state-park ; https://ohiodnr.gov/static/documents/parks/parkmaps/buckcreekparkmap.pdf
oh-v73-stonelick-coordinate-rescue,OH,Stonelick State Park Campground,Clermont,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Official/source proof exists but exact campsite/campground coordinate is still blocked or medium-only.,Resolve coordinate conflict with ODNR GIS or georeferenced campground PDF.,,v23.1.73,
oh-v73-east-fork-main-backcountry-coordinate-rescue,OH,East Fork State Park Campground / Backcountry Components,Clermont / Bethel-Batavia,coordinate_rescue,Modern + Boat/Backpack components,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Official/source proof exists but exact campsite/campground coordinate is still blocked or medium-only.,"Extract ReserveOhio metadata, official campground map, ODNR GIS, or trail/backcountry map.",,v23.1.73,
oh-lead-east-fork-backcountry-sites-status-check,OH,East Fork hike-in / overnight primitive sites,Clermont / East Fork SP,needs_verification,Boat / Backpack,source_conflict_status_check,High,ODNR official state park/campground pages,"Official source conflict: park page references 5 no-road-access overnight sites, while campground page says no longer walk-in campsites.",Do not import until ODNR conflict is resolved.,Keep Needs Verification.,No active OH match.,v23.1.66,"From OH_W1 next-round closeout. Possible hike-in/primitive sites, but current status conflicting."
oh-lead-stonelick-state-park-campground,OH,Stonelick State Park Campground,Clermont County,coordinate_rescue,Rustic / Primitive or Modern after amenity audit,ODNR campground; layer/coordinate rescue,High,Official ODNR state park/map/reservation source path,NO HONEST IMPORT COORDINATE RECOVERED in accessible tools; official map/reservation/GIS extraction needed.,"Good future active candidate, but not safe to import until campground loop/component coordinate is recovered.","Use normal browser ODNR page/reservation map, ODNR GIS/static map, or georeference official map; add active row only after point lands on campground/component.",NO ACTIVE OH MATCH FOUND in current OH.js unless otherwise noted,v23.1.65,OH_W3 first-pass return. Source/citation text: https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/stonelick-state-park ; https://ohiodnr.gov/static/documents/parks/parkmaps/stonelickparkmap.pdf
oh-lead-east-fork-state-park-campground,OH,East Fork State Park Campground,Clermont County / Cincinnati southeast,coordinate_rescue,Modern Campgrounds,ODNR/USACE reservoir campground; coordinate rescue,High,Official ODNR state park/map/reservation source path,NO HONEST IMPORT COORDINATE RECOVERED in accessible tools; official map/reservation/GIS extraction needed.,"Good future active candidate, but not safe to import until campground loop/component coordinate is recovered.","Use normal browser ODNR page/reservation map, ODNR GIS/static map, or georeference official map; add active row only after point lands on campground/component.",NO ACTIVE OH MATCH FOUND in current OH.js unless otherwise noted,v23.1.65,OH_W3 first-pass return. Source/citation text: https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/east-fork-state-park ; https://ohiodnr.gov/static/documents/parks/parkmaps/eastforkparkmap.pdf
oh-lead-cowan-lake-state-park-campground,OH,Cowan Lake State Park Campground,Clinton County,coordinate_rescue,Modern Campgrounds,ODNR campground; coordinate rescue,High,Official ODNR state park/map/reservation source path,NO HONEST IMPORT COORDINATE RECOVERED in accessible tools; official map/reservation/GIS extraction needed.,"Good future active candidate, but not safe to import until campground loop/component coordinate is recovered.","Use normal browser ODNR page/reservation map, ODNR GIS/static map, or georeference official map; add active row only after point lands on campground/component.",NO ACTIVE OH MATCH FOUND in current OH.js unless otherwise noted,v23.1.65,OH_W3 first-pass return. Source/citation text: https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/cowan-lake-state-park ; https://ohiodnr.gov/static/documents/parks/parkmaps/cowanlakeparkmap.pdf
oh-lead-independence-dam-sp-primitive-campground,OH,Independence Dam State Park Primitive Campground,Defiance / Maumee River,coordinate_rescue,Rustic / Primitive,`official_primitive_coordinate_rescue`,High,ODNR official campground,Official ODNR proof; exact camping coordinate not recovered.,Good Maumee River corridor rustic add after coordinate rescue.,Add lead.,No active OH match.,v23.1.65,OH_W1 first-pass return. Source/citation text: ODNR says the campground at Independence Dam State Park is along the Maumee River and offers seasonal primitive tent-only campsites. ([Ohio Department of Natural Resources][11])
oh-v73-delaware-state-park-coordinate-rescue,OH,Delaware State Park Campground,Delaware,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Official/source proof exists but exact campsite/campground coordinate is still blocked or medium-only.,"Extract ReserveOhio metadata, ODNR GIS, or georeference official campground PDF.",,v23.1.73,
oh-lead-alum-creek-primitive-horse-camp,OH,Alum Creek primitive bridle / horse camp,Delaware / Alum Creek bridle trail system,research_needed,Rustic / Primitive,Separate primitive/horse component lead,High,Official ODNR state park/map/reservation source path,NO HONEST IMPORT COORDINATE RECOVERED in accessible tools; official map/reservation/GIS extraction needed.,"Good future active candidate, but not safe to import until campground loop/component coordinate is recovered.","Use normal browser ODNR page/reservation map, ODNR GIS/static map, or georeference official map; add active row only after point lands on campground/component.",NO ACTIVE OH MATCH FOUND in current OH.js unless otherwise noted,v23.1.65,OH_W3 first-pass return. Source/citation text: https://ohiodnr.gov/static/documents/parks/parkmaps/alumcreekparkmap.pdf
oh-lead-alum-creek-state-park-campground,OH,Alum Creek State Park Campground,Delaware / Columbus north,coordinate_rescue,Modern Campgrounds,ODNR campground; coordinate extraction needed,High,Official ODNR state park/map/reservation source path,NO HONEST IMPORT COORDINATE RECOVERED in accessible tools; official map/reservation/GIS extraction needed.,"Good future active candidate, but not safe to import until campground loop/component coordinate is recovered.","Use normal browser ODNR page/reservation map, ODNR GIS/static map, or georeference official map; add active row only after point lands on campground/component.",NO ACTIVE OH MATCH FOUND in current OH.js unless otherwise noted,v23.1.65,OH_W3 first-pass return. Source/citation text: https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/alum-creek-state-park ; https://ohiodnr.gov/static/documents/parks/parkmaps/alumcreekparkmap.pdf
oh-lead-delaware-state-park-campground,OH,Delaware State Park Campground,Delaware County,coordinate_rescue,Modern Campgrounds,ODNR campground; coordinate rescue,High,Official ODNR state park/map/reservation source path,NO HONEST IMPORT COORDINATE RECOVERED in accessible tools; official map/reservation/GIS extraction needed.,"Good future active candidate, but not safe to import until campground loop/component coordinate is recovered.","Use normal browser ODNR page/reservation map, ODNR GIS/static map, or georeference official map; add active row only after point lands on campground/component.",NO ACTIVE OH MATCH FOUND in current OH.js unless otherwise noted,v23.1.65,OH_W3 first-pass return. Source/citation text: https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/delaware-state-park ; https://ohiodnr.gov/static/documents/parks/parkmaps/delawareparkmap.pdf
oh-lead-kelleys-island-sp-campground-coordinate-rescue,OH,Kelleys Island State Park Campground,Erie / Kelleys Island,coordinate_rescue,Modern Campgrounds,`official_proof_coordinate_rescue`,High,ODNR official campground/PDF,Official ODNR campground/map proof; no exact coordinate extracted.,"Island campground, public-facing and valid.",Add coordinate-rescue lead.,No active OH match.,v23.1.65,"OH_W1 first-pass return. Source/citation text: ODNR lists electric, non-electric and full-hookup sites; ODNR campground map gives 920 Division Street and shows showerhouse/restroom, dump station, potable water and campsite layout. ([Ohio Department of Natural Resources][3])"
oh-lead-harrison-lake-sp-campground-coordinate-rescue,OH,Harrison Lake State Park Campground,Fulton / Fayette,coordinate_rescue,Modern Campgrounds,`official_proof_coordinate_rescue`,High,ODNR official campground/PDF,ODNR campground map/address found; no exact lat/lng extracted.,Good active candidate after coordinate rescue.,Add lead.,No active OH match.,v23.1.65,"OH_W1 first-pass return. Source/citation text: ODNR lists 91 full-hookup, 58 electric, 13 non-electric sites plus showers/flush toilets; campground map gives 26246 Harrison Lake Road and shows showerhouse/restrooms. ([Ohio Department of Natural Resources][7])"
oh-greene-narrows-reserve-primitive-camping,OH,Narrows Reserve Primitive Camping,Greene / Beavercreek / Creekside Trail,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,Greene County official,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not pin river access unless campsite coincides,Add lead,,v23.1.71,
oh-greene-angels-pass-park-camping,OH,Angels Pass Park Campsites,Greene / Beavercreek Township / Creekside Trail,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Greene County official,NO HONEST ACTIVE COORDINATE ACCEPTED,Good small overlooked local campground,Add lead; coordinate rescue,,v23.1.71,
oh-greene-jacoby-road-launch-primitive-camping,OH,Jacoby Road Launch Primitive Camping,Greene / Xenia / Little Miami Scenic Trail,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,Greene County official,NO HONEST ACTIVE COORDINATE ACCEPTED,"The camping proof is explicit, but boat-launch proxy risk is high",Add lead,,v23.1.71,
