id,state,name,countyRegion,leadType,likelyLayer,status,priority,sourceType,coordinateConfidence,blocker,nextAction,relatedActiveOrPendingRecord,lastCheckedVersion,notes
ky-lead-ballard-wma-seasonal-access-camping-coordinate-rescue,KY,Ballard WMA Seasonal Access Camping Sites,Ballard,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official KDFWR,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not blanket-pin Ballard WMA,Coordinate rescue,,v23.1.71,
ky-w8-kentucky-ridge-state-forest-primitive,KY,Kentucky Ridge State Forest primitive camping area,Bell / Pine Mountain,area_geometry_extraction,Boondocking / Dispersed,area_geometry_extraction,High,Official Kentucky EEC / Forestry,NO HONEST ACTIVE COORDINATE ACCEPTED,Area/rule marker only; not Pine Mountain State Resort Park campground.,Add after boundary extraction,,v23.1.71,
ky-w8-alum-ford-campground,KY,Alum Ford Campground,Big South Fork / McCreary,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official NPS / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Good non-modern federal add.,Add after coordinate rescue,,v23.1.71,
ky-lead-big-south-fork-ky-backcountry-river-corridor,KY,Big South Fork KY backcountry and canoe-camping corridor geometry,Big South Fork NRRA / Kentucky side,area_outline_followup / external_access_required,Boat / Backpack,external_access_required,High,NPS backcountry maps/GIS / river corridor rules,NO HONEST EXACT PIN,Prior KY pass flagged both Big South Fork backcountry rule area and river floodplain canoe-camping corridor.,"Extract official NPS backcountry zones, river-corridor geometry, and campsite/permit rules; avoid Tennessee-side duplication.",,v23.1.54-historical-backfill,Split KY/TN if needed.
ky-future-yellowbank-wma-designated-camping,KY,Yellowbank WMA Designated Camping,Breckinridge / Ohio River east of lock,out_of_scope_future_lead,Rustic / Primitive,future_lead,High,Official KDFWR,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not pull W7 eastward,Future worker,,v23.1.71,
ky-v73-lbl-self-service-campground-gis-extraction,KY,LBL self-service campgrounds GIS extraction,"Cravens Bay, Fenton, Nickell Branch, Birmingham Ferry, Smith Bay, Sugar Bay, Taylor Bay, Redd Hollow, Boswell Landing, Gatlin Point",gis_extraction,Rustic / Primitive,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Official LBL proof is strong but official GIS/ZIP or georeferenced map extraction is still required for component points/polygons.,Fetch/extract LBL Recreation Sites ZIP with normal browser/QGIS/GDAL or georeference official LBL North/South recreation maps.,,v23.1.73,
ky-w8-daniel-boone-nf-dispersed-area-rule,KY,Daniel Boone NF dispersed camping rule area,Daniel Boone NF / central-east KY,area_geometry_extraction,Boondocking / Dispersed,area_geometry_extraction,High,Official USFS,NO HONEST ACTIVE COORDINATE ACCEPTED,Must not imply private inholdings are open.,Add as broad area/rule candidate after geometry extraction,,v23.1.71,
ky-v73-lbl-backcountry-basic-camping-geometry,KY,LBL backcountry/basic camping areas geometry,"Demumbers Bay, Pisgah Point, Ginger Bay, Neville Bay, Twin Lakes, remote forest-road/lakeshore system",gis_extraction,Boat / Backpack / Boondocking,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Official LBL proof is strong but official GIS/ZIP or georeferenced map extraction is still required for component points/polygons.,Fetch/extract LBL Recreation Sites ZIP with normal browser/QGIS/GDAL or georeference official LBL North/South recreation maps.,,v23.1.73,
ky-w8-dewey-lake-shoreline-sites,KY,Dewey Lake Campground Shoreline Sites,Dewey Lake / Floyd,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,Official Recreation.gov / USACE,NO HONEST ACTIVE COORDINATE ACCEPTED,Don’t use Jenny Wiley lodge/campground or lake center as proxy.,Add after site-point rescue,,v23.1.71,
ky-w8-fishtrap-grapevine-camping,KY,Grapevine Recreation Area camping / Fishtrap Lake,Fishtrap Lake / Pike,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official Recreation.gov / USACE lead,NO HONEST ACTIVE COORDINATE ACCEPTED,Lead only until exact camping area and amenities are confirmed.,Add durable lead,,v23.1.71,
ky-w8-kingdom-come-primitive-camping,KY,Kingdom Come State Park primitive camping,Harlan,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official Kentucky State Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Good state-park non-modern miss.,Add after coordinate rescue,,v23.1.71,
ky-w8-kentenia-state-forest-primitive,KY,Kentenia State Forest primitive camping area,Harlan / Pine Mountain,area_geometry_extraction,Boondocking / Dispersed,area_geometry_extraction,High,Official Kentucky EEC / Forestry,NO HONEST ACTIVE COORDINATE ACCEPTED,Area/rule marker only.,Add after boundary extraction,,v23.1.71,
ky-v73-lbl-developed-campgrounds-coordinate-rescue,KY,LBL Hillman Ferry / Energy Lake / Wranglers / Turkey Bay coordinate rescue,Kentucky-side LBL,gis_extraction,Modern / Rustic,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Official LBL proof is strong but official GIS/ZIP or georeferenced map extraction is still required for component points/polygons.,Fetch/extract LBL Recreation Sites ZIP with normal browser/QGIS/GDAL or georeference official LBL North/South recreation maps.,,v23.1.73,
ky-lead-lbl-self-service-campgrounds-11-gis-extraction,KY,"LBL Self-Service Campgrounds — Cravens Bay, Fenton, Nickell Branch, Birmingham Ferry, Smith Bay, Sugar Bay, Taylor Bay, Redd Hollow, Boswell Landing, Gatlin Point, Turkey Bay",LBL / Kentucky Lake / Lake Barkley,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USDA/LBL,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not collapse these into one active pin; split by campground after coordinate extraction,GIS/official map extraction,,v23.1.71,
