id,state,name,bucket,recommendedAction,reason,status,leadType,likelyLayer,hasCoordinate,priority
nd-lead-lake-metigoshe-modern-coordinate-rescue,ND,Lake Metigoshe State Park modern campground coordinate rescue,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Modern Campgrounds,no,High
nd-lead-lake-metigoshe-primitive-coordinate-rescue,ND,Lake Metigoshe State Park primitive campground coordinate rescue,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Rustic / Primitive,no,High
nd-lead-grahams-island-modern-coordinate-rescue,ND,Grahams Island State Park modern campground coordinate rescue,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Modern Campgrounds,no,High
nd-lead-grahams-island-primitive-coordinate-rescue,ND,Grahams Island State Park primitive campground coordinate rescue,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Rustic / Primitive,no,Medium
nd-lead-turtle-river-modern-coordinate-rescue,ND,Turtle River State Park modern campground coordinate rescue,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Modern Campgrounds,no,High
nd-lead-turtle-river-walkin-primitive-coordinate-rescue,ND,Turtle River State Park walk-in primitive camping coordinate rescue,TRUE_LEAD_RESEARCH_OR_EXTERNAL,Keep as lead until proof/geometry/status is resolved.,"Still has a proof, geometry, legality, duplicate, or current-status blocker.",coordinate_rescue,coordinate_rescue,Boat / Backpack,no,High
nd-lead-icelandic-modern-coordinate-rescue,ND,Icelandic State Park modern campground coordinate rescue,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Modern Campgrounds,no,High
nd-lead-icelandic-primitive-coordinate-rescue,ND,Icelandic State Park primitive campground coordinate rescue,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Rustic / Primitive,no,Medium
nd-lead-fort-ransom-modern-horse-coordinate-rescue,ND,Fort Ransom State Park modern / horse campground coordinate rescue,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Modern Campgrounds or Rustic / Primitive by loop,no,High
nd-lead-fort-ransom-primitive-walkin-coordinate-rescue,ND,Fort Ransom State Park primitive / walk-in campground coordinate rescue,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Rustic / Primitive or Boat / Backpack,no,Medium
nd-lead-nd-state-fairgrounds-camping-lane,ND,North Dakota State Fairgrounds camping lane,TRUE_LEAD_RESEARCH_OR_EXTERNAL,Keep as lead until proof/geometry/status is resolved.,"Still has a proof, geometry, legality, duplicate, or current-status blocker.",coordinate_rescue,coordinate_rescue,Rustic / Primitive unless Modern triad recovered,no,Medium
nd-lead-cottonwood-campground-coordinate-rescue,ND,Cottonwood Campground,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Rustic / Primitive,no,Medium
nd-lead-juniper-campground-coordinate-rescue,ND,Juniper Campground,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Rustic / Primitive,no,Medium
nd-lead-roundup-group-horse-camp-coordinate-rescue,ND,Roundup Group Horse Camp,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Rustic / Primitive,no,Medium
nd-lead-trnp-backcountry-little-missouri-boating-geometry,ND,TRNP backcountry / Little Missouri River overnight boating area geometry,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",area_outline_followup,area_outline_followup,Boat / Backpack or Info / Reference,no,Medium
nd-lead-sheyenne-river-water-trail-sites,ND,Sheyenne River Water Trail exact semi-primitive sites,TRUE_LEAD_RESEARCH_OR_EXTERNAL,Keep as lead until proof/geometry/status is resolved.,"Still has a proof, geometry, legality, duplicate, or current-status blocker.",gis_extraction_needed,coordinate_rescue / area_outline_followup,Boat / Backpack,no,High
nd-lead-turtle-mountain-homen-state-forest-rule-proof,ND,Turtle Mountain / Homen State Forest area-rule proof,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",agency_contact_needed,agency_contact_needed,Boondocking / Dispersed or Info / Reference,no,High
nd-lead-bull-creek-community-review,ND,Bull Creek WMA community boondocking lead,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",community_review,community_review / gis_extraction_needed,Boondocking / Dispersed,no,Medium
