priority,state,id,name,layer,lat,lng,risk_signals,recommended_action,notes
P1,CA,s271,Eastern Sierra Visitor Center,Modern Campgrounds,36.5785973,-118.0559839,proxy-feature wording/name (review if used as exact campsite); Modern layer lacks visible modern-service proof in record text; legacy active row has no visible source URL,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,CA,s802,San Onofre Beach,Modern Campgrounds,33.3728077,-117.5656012,proxy-feature wording/name (review if used as exact campsite); Modern layer lacks visible modern-service proof in record text; legacy active row has no visible source URL,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,DE,s90,Big Oaks Campground,Private Campgrounds,38.7387651,-75.1312004,proxy-feature wording/name (review if used as exact campsite),"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,ia-v23196-bridge-view-campground-rathbun,Bridgeview / Bridge View Campground,Modern Campgrounds,40.878611,-93.026667,vague/uncertain wording in non-boondocking record; Modern layer lacks visible modern-service proof in record text,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,ia-v23196-buck-creek-campground-rathbun,Buck Creek Campground,Modern Campgrounds,40.843705,-92.872074,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,s395,Hills Access,Modern Campgrounds,41.5576137,-91.5213163,Modern layer conflicts with rustic/no-service wording; legacy active row has no visible source URL,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,ia-v23196-howell-station-campground-red-rock,Howell Station Campground,Modern Campgrounds,41.365034,-92.973747,vague/uncertain wording in non-boondocking record,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,s431,Iowa,Modern Campgrounds,41.9192188,-92.9997489,proxy-feature wording/name (review if used as exact campsite); Modern layer lacks visible modern-service proof in record text; legacy active row has no visible source URL,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,ia-v23196-island-view-campground-rathbun,Island View Campground,Modern Campgrounds,40.834738,-92.918844,vague/uncertain wording in non-boondocking record; Modern layer lacks visible modern-service proof in record text; access wording suggests Boat / Backpack review,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,ia-v23196-ivans-campground-red-rock,Ivans / Ivan’s Campground,Modern Campgrounds,41.360381,-92.972866,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; Modern layer lacks visible modern-service proof in record text,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,ia-v23196-linder-point-campground-coralville,Linder Point Campground,Modern Campgrounds,41.725266,-91.541398,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,ia-v23196-north-overlook-campground-red-rock,North Overlook Campground,Modern Campgrounds,41.380275,-92.969922,vague/uncertain wording in non-boondocking record; Modern layer conflicts with rustic/no-service wording,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,ia-v23196-prairie-ridge-campground-rathbun,Prairie Ridge Campground,Modern Campgrounds,40.840185,-92.881332,vague/uncertain wording in non-boondocking record,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,ia-v23196-sandy-beach-campground-coralville,Sandy Beach Campground,Modern Campgrounds,41.814652,-91.599785,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; Modern layer conflicts with rustic/no-service wording,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,ia-v23196-sugar-bottom-campground-coralville,Sugar Bottom Campground,Modern Campgrounds,41.763484,-91.560751,vague/uncertain wording in non-boondocking record; access wording suggests Boat / Backpack review,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,ia-v23196-tailwater-east-campground-coralville,Tailwater East Campground,Modern Campgrounds,41.720323,-91.528391,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; access wording suggests Boat / Backpack review,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,ia-v23196-tailwater-west-campground-coralville,Tailwater West Campground,Modern Campgrounds,41.72216,-91.5294,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; Modern layer lacks visible modern-service proof in record text,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IA,ia-v23196-wallashuck-campground-red-rock,Wallashuck Campground,Modern Campgrounds,41.400249,-92.993495,vague/uncertain wording in non-boondocking record,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IL,s64,Beaver Dam State Park,Modern Campgrounds,39.2150072,-89.9770686,proxy-feature wording/name (review if used as exact campsite); Modern layer lacks visible modern-service proof in record text; broad park/forest/lake/river/system name; review as area/rule or component split; legacy active row has no visible source URL,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IL,s177,Cedar Lake,Modern Campgrounds,37.6378121,-89.2811636,proxy-feature wording/name (review if used as exact campsite); Modern layer conflicts with rustic/no-service wording; broad park/forest/lake/river/system name; review as area/rule or component split; legacy active row has no visible source URL,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IL,il-v23194-pharaoh-campground-garden-of-the-gods,Garden of the Gods / Pharaoh Campground,Rustic / Primitive,37.6025,-88.37944444,vague/uncertain wording in non-boondocking record,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IL,s361,Hamilton County - ?? not sure where in County,Modern Campgrounds,38.0543187,-88.556531,vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split; legacy active row has no visible source URL,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IL,s378,Henderson County - ??,Modern Campgrounds,40.8335548,-90.9438468,vague/uncertain wording in non-boondocking record; Modern layer lacks visible modern-service proof in record text; legacy active row has no visible source URL,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IL,s451,Johnson Creek Recreation Area Campground,Rustic / Primitive,37.83444444,-89.52055556,proxy-feature wording/name (review if used as exact campsite),"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IL,s467,Kinkaid Lake,Info / Reference,37.7981405,-89.4375736,proxy-feature wording/name (review if used as exact campsite); broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IL,il-v23141-kinkaid-lake-village-marina-campground,Kinkaid Lake Village Marina & Campground,Private Campgrounds,37.799181078721766,-89.41360062354141,proxy-feature wording/name (review if used as exact campsite),"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IL,s512,Lake of Egypt,Boondocking / Dispersed,37.6250774,-88.9581318,proxy-feature wording/name (review if used as exact campsite); broad park/forest/lake/river/system name; review as area/rule or component split; legacy active row has no visible source URL,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IL,s677,Panther Den Wilderness,Modern Campgrounds,37.5928283,-89.0750763,Modern layer conflicts with rustic/no-service wording; broad park/forest/lake/river/system name; review as area/rule or component split; legacy active row has no visible source URL,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IL,s890,Sugar River Forest Preserve Campground,Modern Campgrounds,42.4634354,-89.2344366,proxy-feature wording/name (review if used as exact campsite); Modern layer conflicts with rustic/no-service wording; legacy active row has no visible source URL,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IL,s655,Turkey Bayou Campground / Oakwood Bottoms,Rustic / Primitive,37.685,-89.41138889,vague/uncertain wording in non-boondocking record,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,IL,s985,Weldon Springs State Park,Modern Campgrounds,40.1211131,-88.9228436,Modern layer conflicts with rustic/no-service wording; broad park/forest/lake/river/system name; review as area/rule or component split; legacy active row has no visible source URL,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-cedar-bluff-page-creek-camping-area,Cedar Bluff State Park — Page Creek Camping Area,Modern Campgrounds,38.749333,-99.76375,Modern layer conflicts with rustic/no-service wording; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-trego-cedar-bluff-wa-mossyhorn,Cedar Bluff Wildlife Area — Mossyhorn Camping Area,Rustic / Primitive,38.789153,-99.875481,vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-trego-cedar-bluff-wa-riverview,Cedar Bluff Wildlife Area — Riverview Camping Area,Rustic / Primitive,38.783786,-99.887558,vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-chase-sfl-east-camping-area,Chase State Fishing Lake — East Camping Area,Rustic / Primitive,38.367333,-96.590083,vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-chase-sfl-shelterhouse-camping-area,Chase State Fishing Lake — Shelterhouse Camping Area,Rustic / Primitive,38.365556,-96.593889,vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-chase-sfl-west-camping-area,Chase State Fishing Lake — West Camping Area,Rustic / Primitive,38.363556,-96.597889,vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-cheney-east-shore-camping-area,Cheney State Park — East Shore Camping Area,Modern Campgrounds,37.74305,-97.7713,proxy-feature wording/name (review if used as exact campsite); Modern layer conflicts with rustic/no-service wording; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-cheney-west-shore-camping-area,Cheney State Park — West Shore Camping Area,Modern Campgrounds,37.720817,-97.833817,Modern layer conflicts with rustic/no-service wording; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-morton-cimarron-campground,Cimarron Campground,Rustic / Primitive,37.13547354,-101.8240195,vague/uncertain wording in non-boondocking record,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-clark-sfl-bloom-cove-primitive,Clark State Fishing Lake — Bloom Cove Primitive Camping / Day Use,Rustic / Primitive,37.40058,-99.78297,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-clark-sfl-east-shore-primitive,Clark State Fishing Lake — East Shore Primitive Camping / Day Use,Rustic / Primitive,37.39517,-99.78291,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-clark-sfl-north-end-primitive,Clark State Fishing Lake — North End Primitive Camping / Day Use,Rustic / Primitive,37.40597,-99.78529,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
