id,state,name,resolutionStatus,resolutionVersion,relatedActiveOrPendingRecord,leadType,likelyLayer,status,reasonRemoved,notes
sd-lead-sage-creek-campground,SD,Sage Creek Campground,promoted_active,v23.1.94,sd-v23194-sage-creek-campground,coordinate rescue,Rustic / Primitive,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 3 return.
co-lead-alamosa-campground-layer-audit,CO,Alamosa Campground,resolved_existing_corrected,v23.1.96,,layer_correction_candidate,Rustic / Primitive,needs_supervisor_review,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing active record corrected from Worker 10 Western/blank-state return.
co-lead-antero-reservoir-south-shore-proof,CO,Antero Reservoir South Shore Campground,resolved_existing_corrected,v23.1.96,,proof_rescue,Needs Verification,agency_contact_needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing active record corrected from Worker 10 Western/blank-state return.
co-lead-clear-creek-reservoir-proof,CO,Clear Creek Reservoir Campground,resolved_existing_corrected,v23.1.96,,proof_rescue,Needs Verification,agency_contact_needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing active record corrected from Worker 10 Western/blank-state return.
co-lead-lone-duck-campground-proof,CO,Lone Duck Campground,resolved_existing_corrected,v23.1.96,,proof_rescue / target-type review,Needs Verification,needs_supervisor_review,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing active record corrected from Worker 10 Western/blank-state return.
co-lead-hornsilver-campground-layer-audit,CO,Hornsilver Campground,resolved_existing_corrected,v23.1.96,,layer_correction_candidate,Needs Verification,needs_supervisor_review,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing active record corrected from Worker 10 Western/blank-state return.
mt-lead-fwp-bearpaw-lake-fas,MT,Bearpaw Lake FAS,promoted_active,v23.1.96,mt-v23196-bearpaw-lake-fishing-access-site,FWP FAS coordinate/camping rescue,Rustic / Primitive,gis_extraction_needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 10 Western/blank-state return.
mt-lead-fwp-fort-peck-dredge-cut-pond-fas,MT,Fort Peck Dredge Cut Pond FAS,rejected,v23.1.96,,FWP FAS coordinate/camping rescue,Rustic / Primitive,gis_extraction_needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Rejected from Worker 10 return; no camping/overnight proof or official no overnight/use conflict.
mt-lead-fwp-rock-creek-fas,MT,Rock Creek FAS,promoted_active,v23.1.96,mt-v23196-rock-creek-fishing-access-site,FWP FAS coordinate/camping rescue,Rustic / Primitive,gis_extraction_needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 10 Western/blank-state return.
mt-lead-fwp-johnson-reservoir-fas,MT,Johnson Reservoir FAS,rejected,v23.1.96,,FWP FAS coordinate/camping rescue,Rustic / Primitive,gis_extraction_needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Rejected from Worker 10 return; no camping/overnight proof or official no overnight/use conflict.
