id,state,name,countyRegion,leadType,likelyLayer,status,priority,sourceType,coordinateConfidence,blocker,nextAction,relatedActiveOrPendingRecord,lastCheckedVersion,notes
ia-lead-bridge-view-campground-rathbun,IA,Bridge View Campground,Appanoose / Rathbun Lake,coordinate_rescue,Modern/Rustic by amenities,coordinate_rescue,High,USACE / Recreation.gov,USACE Rathbun source family; exact facility coordinate not recovered.,Avoid bridge/boat-ramp proxy.,Extract official coordinate.,,v23.1.63,https://www.recreation.gov/camping/gateways/162
ia-lead-rathbun-bridgeview-campground,IA,Bridgeview Campground,Appanoose / Rathbun Lake,coordinate_rescue,Modern Campgrounds,official USACE campground proof; coordinate extraction needed,High,USACE official page + campground map link,"Official USACE Rathbun page lists Bridgeview with 104 reservable campsites, 92 electric sites, shower houses and campground map/reservation links. Exact coordinate not extracted.",Clean modern candidate once coordinate extracted.,Open/georeference Bridgeview Campground Map or extract Rec.gov facility coordinate.,,v23.1.64,Kansas City District Rathbun Lake page
ia-lead-rathbun-buck-creek-campground,IA,Buck Creek Campground,Appanoose / Rathbun Lake,coordinate_rescue,Modern Campgrounds,official USACE campground proof; coordinate extraction needed,High,USACE official page + campground map link,Official USACE Rathbun page lists Buck Creek campground with 42 electric reservable campsites and amenities; exact coordinate not extracted.,Do not confuse with Buck Creek Marina/concession campground or Ohio Buck Creek.,Extract facility/map coordinate.,,v23.1.64,Kansas City District Rathbun Lake page
ia-lead-honey-creek-state-park-campground-coordinate-rescue,IA,Honey Creek State Park Campground,Appanoose / Rathbun Lake,coordinate_rescue,Modern Campgrounds likely,coordinate_rescue,High,Iowa DNR / ReserveAmerica,DNR all-parks listing gives official address and reservation link; exact campground coordinate not recovered.,Separate from USACE Rathbun campgrounds.,Extract DNR/ReserveAmerica coordinate and check resort vs campground split.,,v23.1.63,https://www.iowadnr.gov/places-go/state-parks/all-parks/honey-creek-state-park
ia-lead-rathbun-island-view-campground,IA,Island View Campground,Appanoose / Rathbun Lake,coordinate_rescue,Modern Campgrounds,official USACE campground proof; coordinate extraction needed,High,USACE official page + campground map link,"Official USACE Rathbun page lists Island View as largest Rathbun campground with 192 electric campsites, plus group camp within campground.",One parent Modern record likely enough; group camp can be note unless child schema desired.,Extract coordinate; capture group camp as subcomponent note.,,v23.1.64,Kansas City District Rathbun Lake page
ia-lead-rathbun-prairie-ridge-campground,IA,Prairie Ridge Campground,Appanoose / Rathbun Lake,coordinate_rescue,Modern Campgrounds with group rustic note,official USACE campground proof; coordinate extraction needed,High,USACE official page + campground map link,Official USACE Rathbun page lists Prairie Ridge with 56 electric sites and group camp; exact coordinate not extracted.,Modern parent row; group camp note or separate lead if supervisor wants component split.,Extract coordinate and decide group camp representation.,,v23.1.64,Kansas City District Rathbun Lake page
ia-lead-rathbun-rathbun-marina-campground,IA,Rathbun Marina Campground,Appanoose / Rathbun Lake,coordinate_rescue,Private Campgrounds or Modern Campgrounds depending operator proof,official USACE-listed concession campground; private/operator proof needed,High,USACE official page + private concession follow-up,Rathbun USACE page lists a private concessionaire managing Buck Creek Marina campgrounds and links a Rathbun Marina Campground Map. Operator/public access and exact coordinate need proof.,Private/operator campground may be in scope if public-facing.,Open marina campground map/operator page; classify and extract coordinate.,,v23.1.64,Kansas City District Rathbun Lake page
ia-lead-littlefield-recreation-area-campground-coordinate-rescue,IA,Littlefield Recreation Area Campgrounds,Audubon / Exira,coordinate_rescue,Modern Campgrounds,`official_county_campground_coordinate_rescue`,High,Official county / MyCountyParks,DNR lake coordinate rejected; campground coordinate not extracted.,Big obvious Audubon miss.,Extract campground-section coordinates from county map.,,v23.1.63,"Littlefield has 100 modern sites with electricity/water, 15 full-sewer hookups, flush toilets, shower, and multiple campground sections. ([My County Parks][46])"
ia-lead-hannen-lake-park-campground,IA,Hannen Lake Park Campground,Benton,coordinate_rescue,Modern/Rustic by amenities,coordinate_rescue,High,Benton County Conservation,Official county conservation campground source needed.,Obvious Benton County miss.,Extract reservation/map coordinate.,,v23.1.63,https://www.mycountyparks.com/County/Benton/Park/Hannen-Lake-Park.aspx
ia-lead-roddgers-park-campground,IA,Rodgers Park Campground,Benton,coordinate_rescue,Modern/Rustic by amenities,coordinate_rescue,High,Benton County Conservation,Official county conservation source needed; spelling/variant duplicate watch.,Check spelling: Rodgers / Rodger's.,Extract map/reservation coordinate.,,v23.1.63,https://www.mycountyparks.com/County/Benton/Park/Rodgers-Park.aspx
