state,id,final_action,destination_layer,reason
AR,s226,MOVE TO NEEDS VERIFICATION,Needs Verification,"Electric camping was found, but official accessible source chain did not prove campground shower/bathhouse support under Tod’s Modern rule."
AR,s238,MOVE TO NEEDS VERIFICATION,Needs Verification,"Electric/full-hookup campsite classes were found, but official accessible source chain did not prove campground bathhouse/showers."
AR,s441,MOVE TO NEEDS VERIFICATION,Needs Verification,"Electric sites and seasonal restrooms were found, but official accessible source chain did not prove showers."
AR,s490,MOVE TO NEEDS VERIFICATION,Needs Verification,"Electric/full-hookup camping and restrooms were found, but official accessible source chain did not prove showers."
AR,s494,MOVE TO NEEDS VERIFICATION,Needs Verification,"Electric campsite classes were found, but official accessible source chain did not prove campground shower/bathhouse support."
AR,s517,MOVE TO NEEDS VERIFICATION,Needs Verification,"Electric camping was found, but official accessible source chain did not prove campground shower/bathhouse support."
AR,s620,MOVE TO NEEDS VERIFICATION,Needs Verification,"Class AAA camping was found, but official accessible source chain did not prove campground shower/bathhouse support."
AR,s691,MOVE TO NEEDS VERIFICATION,Needs Verification,"Developed camping was found, but official accessible source chain did not prove electric + modern plumbing + showers as a complete triad."
AR,s757,MOVE TO NEEDS VERIFICATION,Needs Verification,"Electric camping was found, but official accessible source chain did not prove campground shower/bathhouse support."
AR,s1017,MOVE TO NEEDS VERIFICATION,Needs Verification,Official Arkansas source chain did not expose the full Modern triad of electric + modern plumbing + showers.
AR,s1022,MOVE TO NEEDS VERIFICATION,Needs Verification,Official Arkansas source chain did not expose the full Modern triad of electric + modern plumbing + showers.
AR,s146,MOVE TO NEEDS VERIFICATION,Needs Verification,"Electric campsite classes were found, but final official-source chain did not prove shower/bathhouse support."
AR,s161,MOVE TO NEEDS VERIFICATION,Needs Verification,Official source chain did not prove all three Modern criteria.
AR,s488,MOVE TO NEEDS VERIFICATION,Needs Verification,Official source chain did not prove all three Modern criteria.
AR,s491,MOVE TO NEEDS VERIFICATION,Needs Verification,Official source chain did not prove all three Modern criteria.
AR,s522,MOVE TO NEEDS VERIFICATION,Needs Verification,Official sources show mixed RV and primitive camping under one broad recreation-area record; a single Modern classification is not honest.
AR,s962,MOVE TO NEEDS VERIFICATION,Needs Verification,Prior keep decision relied on non-final/third-party support; official proof for all three Modern criteria was not retained.
AR,s212,MOVE TO RUSTIC / PRIMITIVE,Rustic / Primitive,"Official source shows primitive/no-hookup camping; no electric, no modern bathhouse/shower service proven."
AR,s240,MOVE TO RUSTIC / PRIMITIVE,Rustic / Primitive,"Official source chain supports trail/primitive camping context, not Modern campground service."
AR,s495,MOVE TO RUSTIC / PRIMITIVE,Rustic / Primitive,Official source chain supports limited-service camping with no showers; not Modern under Tod’s rule.
AR,s396,MOVE TO BOAT / BACKPACK,Boat / Backpack,Official source chain supports primitive hike/bike-in campsites with no normal vehicle access.
AZ,s756,MOVE TO BOONDOCKING / DISPERSED,Boondocking / Dispersed,"Official BLM La Posa LTVA source supports a long-term visitor/rule-area camping record, not a Modern campground loop."
AZ,s531,MOVE TO RUSTIC / PRIMITIVE,Rustic / Primitive,NPS developed drive-in campground without proof of electric hookups and showers.
AZ,s213,MOVE TO BOAT / BACKPACK,Boat / Backpack,Grand Canyon corridor/backcountry campground; no normal vehicle access.
AZ,s241,MOVE TO RUSTIC / PRIMITIVE,Rustic / Primitive,Kaibab NF campground; no electric hookups and no shower proof.
AZ,s419,MOVE TO RUSTIC / PRIMITIVE,Rustic / Primitive,"Kaibab NF campground; primitive/vault-toilet service, no Modern proof."
AZ,s647,MOVE TO RUSTIC / PRIMITIVE,Rustic / Primitive,North Rim campground lacks electric hookup criterion; not Modern under Tod’s rule.
CA,s271,MOVE TO INFO / REFERENCE,Info / Reference,"Visitor center / information stop, not an overnight campground."
CA,s796,MOVE TO RUSTIC / PRIMITIVE,Rustic / Primitive,Inyo NF campground lacks electric hookup and shower proof.
CA,s773,MOVE TO RUSTIC / PRIMITIVE,Rustic / Primitive,Official overnight parkway camping opportunity but low-service/roadside style; not Modern under Tod’s three-part rule.
CO,s8,MOVE TO RUSTIC / PRIMITIVE,Rustic / Primitive,USFS Alamosa Campground has low-service/vault-toilet context and no Modern proof.
CO,s406,MOVE TO RUSTIC / PRIMITIVE,Rustic / Primitive,USFS Hornsilver Campground has vault/basic service and no Modern proof.
CO,s449,MOVE TO NEEDS VERIFICATION,Needs Verification,CPW confirms campground identity but accessible official source chain did not prove electric + modern plumbing + showers.
CO,s518,MOVE TO NEEDS VERIFICATION,Needs Verification,"CPW confirms park/campsites, but final source chain did not prove all three Modern criteria."
CO,s20,MOVE TO NEEDS VERIFICATION,Needs Verification,Official manager/source chain did not prove Modern amenities or a clearer alternate layer.
